# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-1.2654915e-10	-2.1091523e-10	0.00014160495	0	0	0
0	1.6631932e-06	1.6873218e-10	0.011436969	8.726646e-07	0	0.009999999
0	3.331195e-06	-2.1091523e-10	0.022893934	1.7453292e-06	0	0.02
0	5.0158596e-06	8.436609e-11	0.03472792	2.617994e-06	0	0.029999997
0	6.7176925e-06	8.436609e-10	0.047191374	3.4906584e-06	0	0.04
0	8.4476615e-06	0	0.0606285	4.3633227e-06	0	0.050000012
0	1.0207749e-05	6.749287e-10	0.07549931	5.235988e-06	0	0.059999995
0	1.20123395e-05	5.061966e-10	0.09255063	6.108653e-06	0	0.07
0	1.3868309e-05	0	0.1131136	6.981317e-06	0	0.08
0	1.578922e-05	6.749287e-10	0.14008291	7.8539815e-06	0	0.08999998
0	1.7821367e-05	-3.3746436e-10	0.18260631	8.726645e-06	0	0.100000024
0	-0.0012182915	-0.0012220673	0.3011037	9.59931e-06	0	0.11
0	-0.0010801393	-0.0010956331	0.37049273	1.0471976e-05	0	0.11999999
0	0.00050902774	0.00048223455	0.6223873	1.1344641e-05	0	0.13
0	0.00036931763	0.00034130336	0.682982	1.2217306e-05	0	0.14
0	2.8974966e-05	-1.2351197e-07	0.9638885	1.3089971e-05	0	0.14999998
0	3.034659e-05	-9.9889455e-08	0.97030216	1.3962634e-05	0	0.15999998
0	3.1638243e-05	-8.301623e-08	0.9748991	1.4835298e-05	0	0.16999999
0	3.286132e-05	-6.951766e-08	0.9783388	1.5707963e-05	0	0.17999996
0	3.4026412e-05	-5.939373e-08	0.98099965	1.658063e-05	0	0.19000003
0	3.5138008e-05	-5.1294585e-08	0.9831136	1.745329e-05	0	0.20000005
0	3.6196354e-05	-4.7245013e-08	0.9848319	1.8325956e-05	0	0.21000002
0	3.721665e-05	-3.93146e-08	0.9862513	1.919862e-05	0	0.22
0	3.8191938e-05	-3.4252633e-08	0.98744655	2.0071284e-05	0	0.23
0	3.912871e-05	-3.087799e-08	0.9884665	2.0943951e-05	0	0.23999998
0	4.0028906e-05	-2.7165882e-08	0.98934853	2.1816611e-05	0	0.25
0	4.0895873e-05	-2.4466168e-08	0.9901207	2.2689283e-05	0	0.26
0	4.173015e-05	-2.1935184e-08	0.9908049	2.3561943e-05	0	0.27
0	4.2536587e-05	-1.923547e-08	0.9914189	2.4434616e-05	0	0.28
0	4.331319e-05	-1.687322e-08	0.99197793	2.5307278e-05	0	0.29
0	4.4064578e-05	-1.5860826e-08	0.99249625	2.6179941e-05	0	0.29999995
0	4.4787655e-05	-1.7548148e-08	0.9929917	2.7052605e-05	0	0.30999997
0	4.550067e-05	-8.43661e-09	0.9935013	2.7925267e-05	0	0.31999996
0	4.629046e-05	1.1811253e-09	0.9961161	2.8797931e-05	0	0.32999998
0	4.6935358e-05	1.1811253e-09	0.99619627	2.9670597e-05	0	0.33999997
0	4.7560596e-05	1.0123932e-09	0.9962735	3.0543255e-05	0	0.3499999
0	4.8164704e-05	1.0123932e-09	0.9963481	3.1415926e-05	0	0.35999992
0	4.8752372e-05	8.436609e-10	0.99642	3.2288594e-05	0	0.36999995
0	4.9321894e-05	8.436609e-10	0.9964894	3.3161257e-05	0	0.38
0	4.9875067e-05	6.749287e-10	0.9965565	3.403392e-05	0	0.38999996
0	5.041225e-05	1.0123932e-09	0.9966215	3.490658e-05	0	0.4000001
0	5.093405e-05	1.1811253e-09	0.99668425	3.5779252e-05	0	0.41
0	5.1441413e-05	1.1811253e-09	0.99674505	3.6651913e-05	0	0.42000005
0	5.1934057e-05	1.0123932e-09	0.9968038	3.7524584e-05	0	0.43
0	5.241385e-05	1.0123932e-09	0.99686074	3.839724e-05	0	0.44000006
0	5.288035e-05	6.749287e-10	0.9969158	3.926991e-05	0	0.45000005
0	5.3335723e-05	6.749287e-10	0.9969695	4.0142568e-05	0	0.46
0	5.3777658e-05	8.436609e-10	0.99702144	4.101524e-05	0	0.46999997
0	5.4209413e-05	7.5929485e-10	0.9970718	4.1887903e-05	0	0.47999996
0	5.4629934e-05	6.749287e-10	0.99712074	4.2760566e-05	0	0.48999995
0	5.5038894e-05	7.5929485e-10	0.99716836	4.3633223e-05	0	0.5
0	5.543828e-05	6.749287e-10	0.99721444	4.4505894e-05	0	0.51000005
0	5.5828128e-05	9.2802704e-10	0.9972593	4.5378565e-05	0	0.52
0	5.620812e-05	7.5929485e-10	0.99730295	4.625122e-05	0	0.52999985
0	5.6579076e-05	5.9056265e-10	0.9973454	4.7123885e-05	0	0.54
0	5.6941408e-05	6.749287e-10	0.99738675	4.7996553e-05	0	0.5500001
0	5.7295834e-05	8.436609e-10	0.99742687	4.8869224e-05	0	0.56
0	5.7640988e-05	8.436609e-10	0.99746597	4.9741888e-05	0	0.57000005
0	5.7978883e-05	6.749287e-10	0.9975042	5.0614555e-05	0	0.58
0	5.830895e-05	5.9056265e-10	0.99754125	5.1487215e-05	0	0.59000003
0	5.8632e-05	8.436609e-10	0.99757737	5.2359883e-05	0	0.5999999
0	5.8947644e-05	6.749287e-10	0.9976128	5.323254e-05	0	0.6100001
0	5.925618e-05	6.749287e-10	0.99764705	5.410521e-05	0	0.61999995
0	5.9558635e-05	5.061966e-10	0.9976806	5.4977874e-05	0	0.63000005
0	5.985381e-05	5.9056265e-10	0.9977133	5.5850534e-05	0	0.6399999
0	6.0143306e-05	6.749287e-10	0.9977454	5.6723202e-05	0	0.6500001
0	6.0426428e-05	5.9056265e-10	0.9977764	5.7595862e-05	0	0.65999997
0	6.0704293e-05	5.061966e-10	0.9978069	5.846853e-05	0	0.67
0	6.0975737e-05	6.749287e-10	0.9978366	5.9341193e-05	0	0.67999995
0	6.124219e-05	9.2802704e-10	0.9978656	6.0213853e-05	0	0.69
0	6.1503095e-05	5.9056265e-10	0.99789405	6.108651e-05	0	0.6999998
0	6.175867e-05	4.2183046e-10	0.99792176	6.19592e-05	0	0.71
0	6.200934e-05	5.9056265e-10	0.9979489	6.283185e-05	0	0.71999985
0	6.225478e-05	5.061966e-10	0.9979754	6.370451e-05	0	0.73
0	6.249636e-05	4.2183046e-10	0.9980013	6.457719e-05	0	0.7399999
0	6.273241e-05	2.530983e-10	0.99802667	6.544985e-05	0	0.75
0	6.2964755e-05	3.3746436e-10	0.99805146	6.6322515e-05	0	0.7600001
0	6.3192594e-05	2.530983e-10	0.9980757	6.719518e-05	0	0.7699999
0	6.341601e-05	3.3746436e-10	0.99809957	6.806784e-05	0	0.7799999
0	6.363535e-05	2.530983e-10	0.99812275	6.8940506e-05	0	0.7900001
0	6.3850435e-05	4.2183046e-10	0.9981455	6.981316e-05	0	0.8000002
0	6.363558e-05	0	0.99812275	6.8940506e-05	0	0.7900001
