# t (s)	mx ()	my ()	mz ()	ext_topologicalcharge ()	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
3.1000080382798054e-10	0.022225328	0.0018121711	0.79191923	-0.4703623	9.8904226e-17	-2.708925e-17	1.5380108e-17	1.0764184e-16	2.9715287e-18	0
3.2001100077004376e-10	0.019911435	0.011744485	0.7865894	-0.39959943	8.861361e-17	-2.7013669e-17	1.533819e-17	1.08187025e-16	-7.897936e-18	0
3.3001248649529314e-10	0.009302404	0.012848971	0.78273654	-0.66942185	9.074705e-17	-2.7002663e-17	1.5331463e-17	1.0827893e-16	-5.86069e-18	0
3.4000916418934796e-10	-0.0001257219	0.014776899	0.77740824	-0.3610021	9.304247e-17	-2.6970808e-17	1.5315388e-17	1.07869785e-16	-3.171886e-18	0
3.5001600902109374e-10	0.00079404766	0.008650688	0.7743008	-0.6103089	9.152478e-17	-2.6952188e-17	1.5301508e-17	1.078539e-16	-4.6784285e-18	0
3.6001646267165737e-10	-0.0043195765	0.004507232	0.7688693	-0.43276906	1.0024348e-16	-2.6869387e-17	1.525833e-17	1.0733566e-16	4.518865e-18	0
3.7001197828500553e-10	-0.0065269046	-0.00069508137	0.76656675	-0.2752529	8.975636e-17	-2.6907352e-17	1.5272069e-17	1.0824169e-16	-6.850055e-18	0
3.8000436797395526e-10	-0.0056094322	0.0030047507	0.76268333	-0.50456285	9.969865e-17	-2.6879361e-17	1.5257777e-17	1.07867204e-16	3.4530438e-18	0
3.9000489807309616e-10	-0.0054890127	0.0026879183	0.7576547	-0.3175118	9.038779e-17	-2.680349e-17	1.5217008e-17	1.0828006e-16	-6.305795e-18	0
4.000003483791154e-10	-0.0023994236	0.0048510833	0.7538341	-0.37691602	9.283896e-17	-2.681873e-17	1.5220004e-17	1.0778331e-16	-3.3456182e-18	0
4.10003287514395e-10	-0.00063639606	-0.0023305954	0.749649	-0.36757708	9.083506e-17	-2.6860705e-17	1.5239067e-17	1.0742397e-16	-4.9672882e-18	0
4.200078599756212e-10	-0.0038357978	-0.003993777	0.74597764	-0.58685476	9.6922e-17	-2.6827846e-17	1.5223652e-17	1.0722022e-16	1.3059779e-18	0
4.3001071378646527e-10	-0.0040500965	-0.00036610634	0.74048054	-0.5839299	9.0736194e-17	-2.6746614e-17	1.5178375e-17	1.07797324e-16	-5.492887e-18	0
4.400126799704843e-10	-0.0029107942	-0.0034250729	0.73570377	-0.55066466	9.048906e-17	-2.6790388e-17	1.5205007e-17	1.0802074e-16	-5.9463057e-18	0
4.500040340997182e-10	-0.0019102877	-0.0025233221	0.7315405	-0.64679706	9.0129805e-17	-2.6784065e-17	1.5199604e-17	1.0744733e-16	-5.7330556e-18	0
4.600153227997353e-10	0.002769836	-0.0061563607	0.72434765	-0.39620936	9.13552e-17	-2.6609229e-17	1.5101924e-17	1.08263344e-16	-5.4008413e-18	0
4.700025362571434e-10	0.007300687	-0.0076812813	0.7196123	-0.55354035	9.671688e-17	-2.6590153e-17	1.5090901e-17	1.08150206e-16	6.5932033e-20	0
4.800026151251825e-10	0.008420116	-0.006958917	0.71587485	-0.8501888	9.089937e-17	-2.661631e-17	1.5102071e-17	1.0781176e-16	-5.39816e-18	0
4.900041946249391e-10	0.0054597734	-0.0060033817	0.71180433	-0.47109	9.5326954e-17	-2.6561317e-17	1.5070452e-17	1.0740932e-16	-5.9151634e-19	0
5.000038796369926e-10	0.0070816637	-0.008085201	0.7094299	-0.7441041	1.0308348e-16	-2.6535451e-17	1.5059862e-17	1.07765474e-16	6.793593e-18	0
5.100014681759485e-10	0.006125258	-0.00042292176	0.70630664	-0.7971978	1.0232507e-16	-2.6545008e-17	1.5066829e-17	1.08226346e-16	5.5769084e-18	0
5.200151557942308e-10	0.0032875987	0.0012074072	0.70219386	-0.47726566	8.949308e-17	-2.660752e-17	1.5099213e-17	1.081322e-16	-7.130799e-18	0
5.300001621291538e-10	0.011478078	0.003290616	0.69578165	-0.6997303	9.658836e-17	-2.657306e-17	1.5079172e-17	1.07501584e-16	5.8065473e-19	0
5.400051182761791e-10	0.00964843	0.0077186627	0.6889663	-0.6196354	9.1291504e-17	-2.6488992e-17	1.503086e-17	1.0781229e-16	-5.062655e-18	0
5.500023791554979e-10	0.00831417	0.009132234	0.68548775	-0.40070102	9.9117115e-17	-2.6477355e-17	1.5024407e-17	1.07661984e-16	2.9080775e-18	0
5.600163832227028e-10	0.008801911	0.016238721	0.682351	-0.72970825	1.01488464e-16	-2.6551715e-17	1.506572e-17	1.08196316e-16	4.778144e-18	0
5.700147499568352e-10	0.0073825805	0.007710743	0.68024105	-0.89708173	9.8977686e-17	-2.6506291e-17	1.5038696e-17	1.0766553e-16	2.779751e-18	0
5.800057565348862e-10	-0.0015571757	0.008323505	0.67835593	-0.5345179	9.586535e-17	-2.6556372e-17	1.5063614e-17	1.07851124e-16	-4.929936e-19	0
5.900075591229738e-10	-0.00076111406	0.0014002508	0.6726364	-0.36744758	8.9935424e-17	-2.6589708e-17	1.5083357e-17	1.0806518e-16	-6.623401e-18	0
6.000030391401262e-10	-0.0010224037	-0.00089124247	0.66664666	-0.3321595	9.675273e-17	-2.656595e-17	1.5066921e-17	1.0814836e-16	1.03399664e-19	0
6.100112562003112e-10	-0.0016971324	-0.006391353	0.6609399	-0.7139623	1.0453648e-16	-2.6466717e-17	1.5011487e-17	1.0789796e-16	8.093745e-18	0
6.200168105499342e-10	0.0021859028	-0.006936982	0.6577622	-0.58680516	8.6044664e-17	-2.6447075e-17	1.5001005e-17	1.07513296e-16	-1.0022567e-17	0
6.300164574716536e-10	-0.00093946	-0.013291691	0.6533047	-0.52284455	9.395639e-17	-2.6422645e-17	1.4988437e-17	1.0710158e-16	-1.7109827e-18	0
6.400030269336103e-10	-0.0008820842	-0.007550745	0.64842224	-0.49386644	9.4948085e-17	-2.6452632e-17	1.500087e-17	1.0762269e-16	-1.2228365e-18	0
