# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	7.1221854e-07	2.0584482e-06	0.011688494	0	0	0
0	1.2885993e-05	2.3454618e-06	0.1220994	4.363323e-06	0	0.05
0	2.5828173e-05	1.2050009e-06	0.2327111	8.726646e-06	0	0.1
0	4.0779447e-05	5.5542415e-07	0.34418282	1.308997e-05	0	0.15
0	5.834801e-05	3.8648108e-07	0.45650452	1.7453292e-05	0	0.2
0	8.0131045e-05	2.6689213e-07	0.56906646	2.1816615e-05	0	0.25
0	0.00010930771	3.5914647e-07	0.6811192	2.617994e-05	0	0.3
0	0.018289603	0.029127771	0.7821655	3.0543262e-05	0	0.35
0	0.00019235116	2.5093175e-05	0.88243717	3.4906585e-05	0	0.4
0	0.00022243027	7.54815e-06	0.9544736	3.926991e-05	0	0.45
0	0.0001957121	6.8260607e-07	0.97516197	4.363323e-05	0	0.5
0	0.00017837122	1.328766e-08	0.98466265	4.799655e-05	0	0.55
0	0.00016697627	1.8982371e-09	0.9924017	5.235988e-05	0	0.6
0	0.00015593618	7.5929485e-10	0.9936374	5.6723202e-05	0	0.65
0	0.00014755205	7.5929485e-10	0.9945341	6.1086525e-05	0	0.7
0	0.00014098291	0	0.9952198	6.544985e-05	0	0.75
0	0.00013569984	7.5929485e-10	0.9957627	6.981317e-05	0	0.8
0	0.00013136191	3.7964742e-10	0.9962038	7.4176496e-05	0	0.85
0	0.00012773465	7.5929485e-10	0.9965688	7.853982e-05	0	0.9
0	0.00012465891	5.6947114e-10	0.996876	8.290314e-05	0	0.95
0	0.00012201611	7.5929485e-10	0.9971378	8.726646e-05	0	1
0	0.000124659	7.5929485e-10	0.996876	8.290314e-05	0	0.95
0	0.00012773473	1.8982371e-10	0.9965688	7.853982e-05	0	0.9
0	0.00013136218	7.5929485e-10	0.9962038	7.4176496e-05	0	0.85
0	0.0001357019	1.5185897e-09	0.9957627	6.981317e-05	0	0.8
0	0.0001409834	1.7084134e-09	0.99521995	6.544985e-05	0	0.75
0	0.00014755306	9.491186e-10	0.9945341	6.1086525e-05	0	0.7
0	0.00015593378	1.8982371e-09	0.9936375	5.6723202e-05	0	0.65
0	0.00016697738	3.7964742e-09	0.9924017	5.235988e-05	0	0.6
0	0.00018209066	2.657532e-09	0.9905274	4.799655e-05	0	0.55
0	0.00020352296	4.1761217e-09	0.9868807	4.363323e-05	0	0.5
0	0.008191974	-1.7653605e-06	0.96386427	3.926991e-05	0	0.45
0	0.024855461	-6.2759514e-06	0.8821889	3.4906585e-05	0	0.4
0	0.033874433	-1.07588285e-05	0.7838851	3.0543262e-05	0	0.35
0	0.037674453	-2.0040068e-05	0.6778196	2.617994e-05	0	0.3
0	0.026599083	-0.026070066	0.5667651	2.1816615e-05	0	0.25
0	0.024273751	-0.023816807	0.45438468	1.7453292e-05	0	0.2
0	0.020403348	-0.02002999	0.34187785	1.308997e-05	0	0.15
0	0.015472427	-0.01519557	0.22998278	8.726646e-06	0	0.1
0	0.009836704	-0.009668393	0.11860438	4.363323e-06	0	0.05
0	0.003946099	-0.003925119	0.006921679	-2.7854503e-20	0	-3.1918912e-16
0	-0.0010087935	0.0009925312	-0.106233	-4.363323e-06	0	-0.05
0	-0.0029811969	0.00294178	-0.22200143	-8.726646e-06	0	-0.1
0	0.02015468	-0.02020163	-0.34187546	-1.308997e-05	0	-0.15
0	0.023963215	-0.024036707	-0.45438054	-1.7453292e-05	0	-0.2
0	0.026214017	-0.026323305	-0.5667629	-2.1816615e-05	0	-0.25
0	0.026421864	-0.026577488	-0.67717975	-2.617994e-05	0	-0.3
0	0.02383817	-0.02404973	-0.7833769	-3.0543262e-05	0	-0.35
0	0.017340511	-0.017608672	-0.88195294	-3.4906585e-05	0	-0.4
0	0.005399939	-0.0056998935	-0.963859	-3.926991e-05	0	-0.45
0	-0.00020316931	-3.842032e-07	-0.9868799	-4.363323e-05	0	-0.5
0	-0.00018209226	-3.4168268e-09	-0.9905271	-4.799655e-05	0	-0.55
0	-0.0001669771	-2.2778845e-09	-0.99240154	-5.235988e-05	0	-0.6
0	-0.0001559345	3.7964742e-10	-0.9936374	-5.6723202e-05	0	-0.65
0	-0.00014755319	-1.7084134e-09	-0.9945341	-6.1086525e-05	0	-0.7
0	-0.00014098382	0	-0.9952198	-6.544985e-05	0	-0.75
0	-0.00013570099	-1.1389423e-09	-0.9957627	-6.981317e-05	0	-0.8
0	-0.00013136177	-1.1389423e-09	-0.9962038	-7.4176496e-05	0	-0.85
0	-0.00012773479	-5.6947114e-10	-0.9965688	-7.853982e-05	0	-0.9
0	-0.00012465862	-7.5929485e-10	-0.996876	-8.290314e-05	0	-0.95
0	-0.000122016034	-5.6947114e-10	-0.9971378	-8.726646e-05	0	-1
0	-0.00012465849	-1.328766e-09	-0.996876	-8.290314e-05	0	-0.95
0	-0.00012773425	-5.6947114e-10	-0.9965688	-7.853982e-05	0	-0.9
0	-0.00013136167	-7.5929485e-10	-0.9962038	-7.4176496e-05	0	-0.85
0	-0.00013570146	0	-0.9957627	-6.981317e-05	0	-0.8
