# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-6.3344635e-10	4.2482629e-10	0.00031152743	0	0	0
0	4.519133e-06	2.4275787e-10	0.0014290571	4.363324e-06	0	0.049999993
0	9.137077e-06	2.4275787e-10	0.0030708213	8.726648e-06	0	0.09999999
0	1.4540753e-05	-2.0300627e-08	0.7941797	1.3089971e-05	0	0.15000005
0	1.8401119e-05	9.1792823e-10	0.9980276	1.7453296e-05	0	0.19999997
0	2.1844913e-05	3.7172299e-10	0.9981637	2.1816617e-05	0	0.25
0	2.4962204e-05	1.6689604e-10	0.9982843	2.6179941e-05	0	0.3000001
0	2.7794538e-05	4.172401e-10	0.9983919	3.0543255e-05	0	0.35000002
0	3.038025e-05	3.5655062e-10	0.9984883	3.4906592e-05	0	0.39999995
0	3.2750184e-05	2.5793023e-10	0.9985751	3.926991e-05	0	0.44999987
0	3.4930265e-05	2.9965425e-10	0.9986539	4.3633234e-05	0	0.5
0	3.6942067e-05	1.9724078e-10	0.9987253	4.799654e-05	0	0.55000013
0	3.8805596e-05	2.1241314e-10	0.9987906	5.2359883e-05	0	0.6000002
0	4.0535757e-05	2.1241314e-10	0.9988504	5.672322e-05	0	0.64999986
0	4.2146574e-05	1.896546e-10	0.99890524	6.108651e-05	0	0.70000005
0	4.3649863e-05	2.0482696e-10	0.99895585	6.544985e-05	0	0.75
0	4.5056546e-05	2.275855e-10	0.9990025	6.9813184e-05	0	0.7999999
0	4.6374986e-05	1.8586149e-10	0.9990457	7.417649e-05	0	0.85000026
0	4.7613463e-05	1.2896512e-10	0.99908596	7.853982e-05	0	0.89999986
0	4.8779402e-05	1.441375e-10	0.9991234	8.290315e-05	0	0.9500003
0	4.9878072e-05	1.3275821e-10	0.9991583	8.726647e-05	0	1
0	4.878019e-05	2.6551643e-11	0.9991234	8.290315e-05	0	0.9500003
0	4.7614234e-05	1.3655131e-10	0.99908596	7.853982e-05	0	0.89999974
0	4.6375935e-05	5.3103286e-11	0.9990457	7.417649e-05	0	0.85000026
0	4.505752e-05	1.2137893e-10	0.9990025	6.9813184e-05	0	0.7999999
0	4.3651104e-05	1.2137893e-10	0.99895585	6.544985e-05	0	0.75
0	4.2147953e-05	7.586184e-11	0.99890524	6.108651e-05	0	0.70000005
0	4.0537238e-05	1.3655131e-10	0.9988504	5.672322e-05	0	0.6499998
0	3.880739e-05	1.820684e-10	0.9987906	5.2359883e-05	0	0.6000002
0	3.6943682e-05	8.344802e-11	0.9987254	4.799654e-05	0	0.55000013
0	3.4931287e-05	2.9965425e-10	0.9986539	4.3633234e-05	0	0.5
0	3.275108e-05	6.068947e-11	0.99857527	3.926991e-05	0	0.44999987
0	3.0381603e-05	4.4758483e-10	0.9984883	3.4906592e-05	0	0.39999995
0	2.7795888e-05	2.1241314e-10	0.9983919	3.0543255e-05	0	0.35
0	2.4963401e-05	2.0482696e-10	0.9982843	2.6179941e-05	0	0.3000001
0	2.1846685e-05	3.793092e-10	0.9981637	2.1816617e-05	0	0.25
0	1.8401668e-05	3.3379208e-10	0.99802756	1.7453296e-05	0	0.19999997
0	1.4571814e-05	5.3103283e-10	0.9978729	1.3089971e-05	0	0.15000005
0	1.0289813e-05	3.262059e-10	0.99769557	8.726648e-06	0	0.09999999
0	5.468915e-06	5.613776e-10	0.99749047	4.363324e-06	0	0.049999993
0	5.2155014e-10	5.006881e-10	0.9972508	-2.7854496e-20	0	-3.1918912e-16
0	-6.256708e-06	6.59998e-10	0.9969669	-4.363324e-06	0	-0.049999993
0	-1.348975e-05	8.1930784e-10	0.99662554	-8.726648e-06	0	-0.09999998
0	-2.1946995e-05	8.970662e-10	0.99620676	-1.3089971e-05	0	-0.15000005
0	-3.19794e-05	1.5324091e-09	0.99567914	-1.7453296e-05	0	-0.19999997
0	-4.408821e-05	1.3351683e-09	0.9949879	-2.1816617e-05	0	-0.25
0	-5.904998e-05	1.7903393e-09	0.9940192	-2.6179941e-05	0	-0.3000001
