# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-3.9433098e-10	-4.8533044e-10	-0.00021449082	0	0	0
0	1.2660512e-05	-2.4266522e-10	0.09273904	8.726646e-06	0	0.10000001
0	3.3960572e-05	-1.067727e-08	0.28890538	1.7453292e-05	0	0.20000002
0	5.539495e-05	-9.706609e-10	0.57789534	2.6179941e-05	0	0.3
0	7.210386e-05	1.5716365e-09	0.9755528	3.4906585e-05	0	0.40000004
0	7.527539e-05	2.7299837e-10	0.989316	4.363323e-05	0	0.5
0	7.7429264e-05	4.2466414e-10	0.99512905	5.2359883e-05	0	0.6
0	7.8718884e-05	3.0333153e-11	0.9960079	6.108652e-05	0	0.6999999
0	7.971316e-05	5.1566357e-10	0.99664736	6.981317e-05	0	0.8000001
0	7.9713e-05	4.2466414e-10	0.99664736	6.981317e-05	0	0.8000001
0	7.871938e-05	3.6399783e-10	0.996008	6.108652e-05	0	0.6999999
0	7.7430006e-05	4.2466414e-10	0.99512905	5.2359883e-05	0	0.6
0	7.569053e-05	1.2133261e-10	0.99385107	4.363323e-05	0	0.5
0	7.3212206e-05	-9.099946e-11	0.99173427	3.4906585e-05	0	0.40000004
0	7.111526e-05	3.761311e-09	0.89827275	2.6179941e-05	0	0.3
0	3.6649122e-05	4.1942258e-06	0.25143552	1.7453292e-05	0	0.20000002
0	1.6029388e-05	2.6887307e-07	0.1082893	8.726646e-06	0	0.10000001
0	1.8551756e-07	-2.7857968e-07	0.009593842	1.21106544e-20	0	1.3877788e-16
0	-1.6164735e-05	-3.2905405e-07	-0.09647465	-8.726646e-06	0	-0.10000001
0	-3.8720817e-05	-8.308857e-07	-0.23365492	-1.7453292e-05	0	-0.20000002
0	-6.0169874e-05	-3.761311e-09	-0.6929312	-2.6179941e-05	0	-0.3
0	-6.931418e-05	4.8533044e-10	-0.9426795	-3.4906585e-05	0	-0.40000004
0	-7.425512e-05	-7.2799566e-10	-0.97860396	-4.363323e-05	0	-0.5
0	-7.743025e-05	1.2133261e-10	-0.99512905	-5.2359883e-05	0	-0.6
0	-7.871922e-05	0	-0.996008	-6.108652e-05	0	-0.6999999
0	-7.971321e-05	-3.0333153e-11	-0.99664736	-6.981317e-05	0	-0.8000001
0	-7.9712954e-05	-5.1566357e-10	-0.99664736	-6.981317e-05	0	-0.8000001
0	-7.871916e-05	2.4266522e-10	-0.996008	-6.108652e-05	0	-0.6999999
0	-7.742988e-05	-3.0333153e-11	-0.99512905	-5.2359883e-05	0	-0.6
0	-7.569072e-05	-6.0666305e-11	-0.99385107	-4.363323e-05	0	-0.5
0	-7.3212024e-05	-6.369962e-10	-0.99173427	-3.4906585e-05	0	-0.40000004
0	-7.110058e-05	-4.7926383e-09	-0.8982419	-2.6179941e-05	0	-0.3
0	-3.596994e-05	-4.8533044e-09	-0.23593457	-1.7453292e-05	0	-0.20000002
0	-1.5099373e-05	-1.9413218e-09	-0.096818976	-8.726646e-06	0	-0.10000001
0	1.2633758e-08	-1.9413218e-09	0.0005746584	-1.21106544e-20	0	-1.3877788e-16
0	1.5042058e-05	9.706609e-10	0.097966425	8.726646e-06	0	0.10000001
0	3.8128073e-05	-6.794626e-09	0.2392437	1.7453292e-05	0	0.20000002
0	5.275105e-05	4.8533044e-10	0.68731207	2.6179941e-05	0	0.3
0	6.940137e-05	4.8533044e-10	0.9420318	3.4906585e-05	0	0.40000004
0	7.429531e-05	1.2133261e-10	0.9790065	4.363323e-05	0	0.5
0	7.7430166e-05	0	0.99512905	5.2359883e-05	0	0.6
0	7.87191e-05	-6.0666305e-11	0.996008	6.108652e-05	0	0.6999999
0	7.9713034e-05	3.0333153e-10	0.99664736	6.981317e-05	0	0.8000001
