# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	4.8533044e-10	0	0.0003523887	0	0	0
0	1.0708271e-05	0	0.055340912	8.726646e-06	0	0.10000001
0	2.4656e-05	-4.8533044e-10	0.13198401	1.7453292e-05	0	0.20000002
0	4.061782e-05	3.397313e-08	0.6956797	2.6179941e-05	0	0.3
0	5.056059e-05	1.2133261e-09	0.9189802	3.4906585e-05	0	0.40000004
0	5.6802197e-05	4.8533044e-10	0.9687113	4.363323e-05	0	0.5
0	6.168935e-05	3.6399783e-10	0.995254	5.2359883e-05	0	0.6
0	6.439037e-05	1.8199892e-10	0.995975	6.108652e-05	0	0.6999999
0	6.6579276e-05	-9.099946e-11	0.9965284	6.981317e-05	0	0.8000001
0	6.6579174e-05	-6.0666305e-11	0.9965284	6.981317e-05	0	0.8000001
0	6.439047e-05	-1.5166576e-10	0.995975	6.108652e-05	0	0.6999999
0	6.1689025e-05	9.099946e-11	0.995254	5.2359883e-05	0	0.6
0	5.826812e-05	2.4266522e-10	0.9942812	4.363323e-05	0	0.5
0	5.380173e-05	-1.2133261e-10	0.99289984	3.4906585e-05	0	0.40000004
0	4.7718826e-05	-6.6732936e-10	0.9906613	2.6179941e-05	0	0.3
0	2.3634137e-05	-0.00023007963	0.1496147	1.7453292e-05	0	0.20000002
0	1.0906224e-05	0.00011646377	0.06440068	8.726646e-06	0	0.10000001
0	1.3346587e-09	0.000324655	8.6661574e-05	1.21106544e-20	0	1.3877788e-16
0	-1.0921391e-05	0.00043684302	-0.06418123	-8.726646e-06	0	-0.10000001
0	-2.3738665e-05	0.00037413152	-0.14921623	-1.7453292e-05	0	-0.20000002
0	-4.3745822e-05	-0.0004956389	-0.8253153	-2.6179941e-05	0	-0.3
0	-5.2449675e-05	2.0337287e-05	-0.9627986	-3.4906585e-05	0	-0.40000004
0	-5.765976e-05	8.386753e-06	-0.9838105	-4.363323e-05	0	-0.5
0	-6.168933e-05	-1.3649919e-09	-0.995254	-5.2359883e-05	0	-0.6
0	-6.4390246e-05	-1.2133261e-10	-0.995975	-6.108652e-05	0	-0.6999999
0	-6.657936e-05	0	-0.9965285	-6.981317e-05	0	-0.8000001
0	-6.657916e-05	-3.6399783e-10	-0.9965285	-6.981317e-05	0	-0.8000001
0	-6.439054e-05	1.8199892e-10	-0.995975	-6.108652e-05	0	-0.6999999
0	-6.168886e-05	2.4266522e-10	-0.995254	-5.2359883e-05	0	-0.6
0	-5.82685e-05	0	-0.9942812	-4.363323e-05	0	-0.5
0	-5.3801625e-05	0	-0.99289984	-3.4906585e-05	0	-0.40000004
0	-4.7718782e-05	-2.5783178e-10	-0.99066126	-2.6179941e-05	0	-0.3
0	-2.3748675e-05	-7.978832e-07	-0.17131315	-1.7453292e-05	0	-0.20000002
0	-1.04002065e-05	-1.8503223e-07	-0.07582623	-8.726646e-06	0	-0.10000001
0	-1.41959156e-08	-9.706609e-09	-0.00042776443	-1.21106544e-20	0	-1.3877788e-16
0	9.854392e-06	-1.1254813e-06	0.07274792	8.726646e-06	0	0.10000001
0	2.1279313e-05	-2.6698028e-06	0.16756588	1.7453292e-05	0	0.20000002
0	3.5609544e-05	9.4736504e-07	0.64510727	2.6179941e-05	0	0.3
0	4.8443675e-05	4.8533044e-10	0.8742519	3.4906585e-05	0	0.40000004
0	5.576604e-05	2.4266522e-10	0.95082927	4.363323e-05	0	0.5
0	6.1688785e-05	2.4266522e-10	0.995254	5.2359883e-05	0	0.6
0	6.439043e-05	-2.4266522e-10	0.995975	6.108652e-05	0	0.6999999
0	6.657907e-05	0	0.9965284	6.981317e-05	0	0.8000001
