# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.03796091	-8.060597e-18	-2.0096e-17	8.905802e-18	6.144001e-18	0	-3.0144e-18
1.0000000000000124e-11	3.0371794e-09	0	0.0010319473	0.03753456	-1.439979e-17	-1.746878e-17	7.848591e-18	-1.7833478e-18	0	-2.9962537e-18
2.0009999999999403e-11	2.0880608e-09	-7.5929485e-10	0.00023826388	0.034244034	-1.4638495e-17	-1.8180293e-17	8.161143e-18	-1.6111204e-18	0	-3.0082263e-18
3.000999999999824e-11	-1.1626702e-09	9.491186e-10	-0.00047585616	0.03239136	-1.4688066e-17	-1.8465017e-17	8.280807e-18	-1.4903192e-18	0	-3.013535e-18
4.000000000000001e-11	5.6947114e-10	1.1389423e-09	-3.5764497e-05	0.03193284	-1.4699403e-17	-1.8368047e-17	8.239662e-18	-1.5573189e-18	0	-3.0136988e-18
5.0000000000001785e-11	2.4439804e-09	1.5185897e-09	0.0005399957	0.03244945	-1.4702439e-17	-1.8318896e-17	8.220015e-18	-1.5895267e-18	0	-3.0140313e-18
6.00000000000024e-11	1.8270532e-09	1.5185897e-09	0.0006439109	0.032241356	-1.470353e-17	-1.835963e-17	8.236237e-18	-1.5659894e-18	0	-3.0141494e-18
7.000999999999771e-11	1.5185897e-09	3.4168268e-09	0.0006468429	0.032500606	-1.4704024e-17	-1.8333926e-17	8.2249e-18	-1.5808676e-18	0	-3.0141303e-18
8.000999999999302e-11	1.328766e-09	4.555769e-09	0.000535371	0.032672156	-1.470439e-17	-1.8313241e-17	8.215628e-18	-1.5926461e-18	0	-3.014131e-18
9.000999999998834e-11	1.0914863e-09	2.657532e-09	0.0003891923	0.032830812	-1.4704717e-17	-1.8302431e-17	8.210575e-18	-1.598729e-18	0	-3.014131e-18
1.0000999999998365e-10	3.5117387e-09	1.5185897e-09	0.00029405477	0.033012155	-1.4704995e-17	-1.8286715e-17	8.203392e-18	-1.6075456e-18	0	-3.014127e-18
1.1000999999997896e-10	3.0371794e-09	-3.7964742e-10	0.00026955706	0.03316871	-1.4705243e-17	-1.8273254e-17	8.197204e-18	-1.6150628e-18	0	-3.0141308e-18
1.2000999999997891e-10	5.220152e-10	3.7964742e-10	0.00029735087	0.033316802	-1.4705465e-17	-1.8260773e-17	8.191497e-18	-1.622051e-18	0	-3.0141374e-18
1.3000999999998715e-10	9.491186e-10	0	0.00033917587	0.033460807	-1.4705653e-17	-1.8248336e-17	8.185823e-18	-1.6289984e-18	0	-3.0141436e-18
1.400099999999954e-10	1.993149e-09	1.1389423e-09	0.00036695864	0.0335918	-1.4705819e-17	-1.8237481e-17	8.180844e-18	-1.6350336e-18	0	-3.0141485e-18
1.5000000000000362e-10	4.6506807e-09	7.5929485e-10	0.00037354877	0.033712823	-1.4705961e-17	-1.8227401e-17	8.176225e-18	-1.6406337e-18	0	-3.0141523e-18
1.6000000000001186e-10	2.0406048e-09	2.2778845e-09	0.00036361738	0.033826537	-1.4706085e-17	-1.821778e-17	8.171827e-18	-1.6459772e-18	0	-3.0141543e-18
1.700000000000201e-10	1.4711338e-09	2.2778845e-09	0.00034676123	0.033931144	-1.4706193e-17	-1.820899e-17	8.1678e-18	-1.6508479e-18	0	-3.0141558e-18
1.8000000000002833e-10	3.891386e-09	4.9354165e-09	0.00033244718	0.034027934	-1.4706284e-17	-1.8200862e-17	8.1640774e-18	-1.6553418e-18	0	-3.0141572e-18
1.9000000000003657e-10	5.742167e-09	6.454006e-09	0.00032524488	0.03411885	-1.4706365e-17	-1.819326e-17	8.160597e-18	-1.6595432e-18	0	-3.0141583e-18
2.000000000000448e-10	1.945693e-09	3.0371794e-09	0.00032435404	0.03420352	-1.4706436e-17	-1.8186183e-17	8.157357e-18	-1.6634504e-18	0	-3.0141593e-18
2.1000000000005304e-10	1.3762219e-09	2.657532e-09	0.00032656017	0.03428231	-1.4706494e-17	-1.8179584e-17	8.154337e-18	-1.6670866e-18	0	-3.0141603e-18
2.2000000000006128e-10	-2.610076e-09	6.074359e-09	0.00032872494	0.034355137	-1.4706548e-17	-1.817343e-17	8.151519e-18	-1.6704763e-18	0	-3.014162e-18
2.3000000000006952e-10	5.6947114e-10	8.352243e-09	0.00032911997	0.034423247	-1.4706596e-17	-1.8167679e-17	8.148887e-18	-1.6736407e-18	0	-3.0141624e-18
2.4000000000005925e-10	1.4711338e-09	6.454006e-09	0.00032756227	0.034486677	-1.4706636e-17	-1.8162296e-17	8.146422e-18	-1.6765998e-18	0	-3.0141626e-18
2.5000000000004163e-10	2.8473557e-10	3.0371794e-09	0.00032493073	0.03454578	-1.4706674e-17	-1.8157255e-17	8.1441134e-18	-1.6793694e-18	0	-3.0141634e-18
2.60000000000024e-10	1.0914863e-09	1.8982371e-09	0.0003221931	0.034601048	-1.4706705e-17	-1.8152523e-17	8.141949e-18	-1.6819653e-18	0	-3.0141634e-18
2.700000000000064e-10	3.3693708e-09	4.555769e-09	0.00032002322	0.034652766	-1.4706734e-17	-1.8148086e-17	8.1399155e-18	-1.6843999e-18	0	-3.0141636e-18
2.800099999999888e-10	3.321915e-09	7.972596e-09	0.00031860353	0.03470189	-1.4706757e-17	-1.814391e-17	8.138004e-18	-1.6866888e-18	0	-3.0141636e-18
2.9000999999997117e-10	1.6135016e-09	4.555769e-09	0.0003177419	0.03474837	-1.4706778e-17	-1.8139986e-17	8.136209e-18	-1.688837e-18	0	-3.014164e-18
3.0000999999995355e-10	1.8982371e-09	3.7964742e-10	0.00031711702	0.034792233	-1.4706798e-17	-1.8136296e-17	8.134519e-18	-1.6908578e-18	0	-3.0141643e-18
3.1000999999993594e-10	9.965745e-10	2.2778845e-09	0.00031645625	0.03483331	-1.4706816e-17	-1.813282e-17	8.132928e-18	-1.6927595e-18	0	-3.0141643e-18
3.2000999999991833e-10	-5.220152e-10	5.315064e-09	0.00031561608	0.034872126	-1.4706833e-17	-1.8129546e-17	8.131429e-18	-1.694551e-18	0	-3.0141645e-18
3.300099999999007e-10	-2.8473557e-10	5.315064e-09	0.00031467664	0.034908704	-1.4706846e-17	-1.8126457e-17	8.130015e-18	-1.696239e-18	0	-3.0141643e-18
3.400099999998831e-10	8.542067e-10	7.213301e-09	0.00031369622	0.03494338	-1.4706858e-17	-1.8123542e-17	8.12868e-18	-1.6978311e-18	0	-3.0141645e-18
3.500099999998655e-10	0	5.6947114e-09	0.0003127617	0.034976132	-1.4706871e-17	-1.8120794e-17	8.12742e-18	-1.6993333e-18	0	-3.0141645e-18
3.600099999998479e-10	-1.8507812e-09	4.9354165e-09	0.00031194507	0.035006855	-1.470688e-17	-1.8118195e-17	8.1262314e-18	-1.7007518e-18	0	-3.0141645e-18
3.7000999999983027e-10	-4.745593e-10	3.0371794e-09	0.00031126876	0.03503598	-1.4706889e-17	-1.8115742e-17	8.125108e-18	-1.7020909e-18	0	-3.0141645e-18
3.8000999999981266e-10	1.2813101e-09	3.0371794e-09	0.00031062902	0.03506379	-1.4706897e-17	-1.8113424e-17	8.124047e-18	-1.7033566e-18	0	-3.0141645e-18
3.9000999999979505e-10	5.6947114e-10	3.7964742e-09	0.0003099988	0.035090096	-1.4706904e-17	-1.8111229e-17	8.123042e-18	-1.7045532e-18	0	-3.0141643e-18
4.0000999999977743e-10	8.067508e-10	4.555769e-09	0.00030945402	0.0351151	-1.4706909e-17	-1.810915e-17	8.122091e-18	-1.705685e-18	0	-3.0141643e-18
4.100099999997598e-10	1.328766e-09	3.4168268e-09	0.0003089134	0.035138644	-1.4706916e-17	-1.8107189e-17	8.121193e-18	-1.7067552e-18	0	-3.0141643e-18
4.200099999997422e-10	7.5929485e-10	4.555769e-09	0.00030832744	0.035160825	-1.470692e-17	-1.810533e-17	8.120342e-18	-1.7077686e-18	0	-3.0141643e-18
4.300099999997246e-10	1.4236778e-10	1.5185897e-09	0.0003078166	0.0351819	-1.4706926e-17	-1.8103569e-17	8.119535e-18	-1.7087281e-18	0	-3.0141643e-18
4.40009999999707e-10	2.8473557e-10	5.315064e-09	0.00030738077	0.035201993	-1.4706929e-17	-1.8101901e-17	8.118773e-18	-1.7096358e-18	0	-3.0141643e-18
4.5000999999968937e-10	3.4168268e-09	4.555769e-09	0.0003069288	0.03522111	-1.4706934e-17	-1.810032e-17	8.118048e-18	-1.7104969e-18	0	-3.0141643e-18
4.6000999999967176e-10	-1.8982371e-10	7.972596e-09	0.00030651063	0.035239022	-1.4706939e-17	-1.8098826e-17	8.117363e-18	-1.7113119e-18	0	-3.014164e-18
4.700099999996541e-10	-1.5185897e-09	1.5185897e-09	0.00030609302	0.03525614	-1.470694e-17	-1.8097407e-17	8.116714e-18	-1.7120844e-18	0	-3.014164e-18
4.800099999996365e-10	-2.3727964e-10	9.111538e-09	0.00030575058	0.035272174	-1.4706944e-17	-1.8096058e-17	8.116097e-18	-1.7128175e-18	0	-3.014164e-18
4.900099999996189e-10	-1.5185897e-09	4.555769e-09	0.00030533693	0.035287563	-1.4706945e-17	-1.8094783e-17	8.115512e-18	-1.7135113e-18	0	-3.014164e-18
5.000099999996013e-10	1.7084134e-09	3.4168268e-09	0.0003050076	0.035301946	-1.4706945e-17	-1.809357e-17	8.114959e-18	-1.7141705e-18	0	-3.014164e-18
5.100099999995837e-10	1.0914863e-09	4.1761217e-09	0.00030477505	0.035315696	-1.4706949e-17	-1.8092424e-17	8.114432e-18	-1.7147952e-18	0	-3.0141636e-18
5.200099999995661e-10	-2.0880608e-09	4.555769e-09	0.00030448008	0.03532876	-1.470695e-17	-1.8091332e-17	8.113933e-18	-1.7153884e-18	0	-3.0141636e-18
5.300099999995485e-10	2.1829727e-09	6.074359e-09	0.00030423256	0.035341058	-1.4706954e-17	-1.8090298e-17	8.113459e-18	-1.7159512e-18	0	-3.0141636e-18
5.400099999995309e-10	5.1252402e-09	4.9354165e-09	0.00030392598	0.03535282	-1.4706954e-17	-1.8089312e-17	8.113009e-18	-1.7164861e-18	0	-3.0141636e-18
5.500099999995133e-10	9.0166263e-10	5.6947114e-09	0.00030355924	0.035363946	-1.4706955e-17	-1.8088379e-17	8.112581e-18	-1.7169943e-18	0	-3.0141636e-18
5.600099999994956e-10	-4.2710333e-09	5.315064e-09	0.00030325836	0.035374627	-1.4706954e-17	-1.808749e-17	8.112175e-18	-1.7174762e-18	0	-3.0141634e-18
5.70009999999478e-10	-1.0440304e-09	5.315064e-09	0.0003030623	0.035384715	-1.4706955e-17	-1.8086648e-17	8.11179e-18	-1.7179343e-18	0	-3.0141634e-18
5.800099999994604e-10	4.3659454e-09	1.8982371e-09	0.0003028436	0.035394367	-1.4706959e-17	-1.8085849e-17	8.111423e-18	-1.7183689e-18	0	-3.0141634e-18
5.900099999994428e-10	-1.1389423e-09	7.5929485e-09	0.00030265283	0.035403535	-1.4706959e-17	-1.808509e-17	8.111075e-18	-1.7187815e-18	0	-3.0141632e-18
6.000099999994252e-10	1.1863982e-09	8.352243e-09	0.00030242486	0.035412148	-1.470696e-17	-1.8084368e-17	8.110745e-18	-1.7191737e-18	0	-3.0141632e-18
6.100099999994076e-10	-2.8473557e-10	3.7964742e-09	0.00030226217	0.035420343	-1.470696e-17	-1.8083682e-17	8.1104315e-18	-1.7195457e-18	0	-3.0141632e-18
6.2000999999939e-10	2.4202522e-09	2.2778845e-09	0.00030213216	0.035428185	-1.4706962e-17	-1.8083033e-17	8.110133e-18	-1.7198995e-18	0	-3.0141632e-18
6.300099999993724e-10	2.610076e-09	4.1761217e-09	0.00030194042	0.035435654	-1.4706964e-17	-1.8082415e-17	8.10985e-18	-1.7202356e-18	0	-3.0141632e-18
6.400099999993547e-10	1.993149e-09	5.6947114e-09	0.00030166176	0.035442702	-1.4706962e-17	-1.8081824e-17	8.109581e-18	-1.720555e-18	0	-3.0141632e-18
6.500099999993371e-10	1.328766e-09	4.555769e-09	0.0003015082	0.035449475	-1.4706964e-17	-1.8081265e-17	8.109325e-18	-1.720859e-18	0	-3.0141632e-18
6.600099999993195e-10	2.8473557e-10	7.213301e-09	0.00030136373	0.03545578	-1.4706964e-17	-1.808073e-17	8.10908e-18	-1.721149e-18	0	-3.0141632e-18
6.700099999993019e-10	-9.491186e-10	4.1761217e-09	0.0003012117	0.035461906	-1.4706964e-17	-1.8080228e-17	8.108849e-18	-1.7214225e-18	0	-3.0141632e-18
6.800099999992843e-10	1.2338541e-09	3.7964742e-09	0.00030111318	0.035467815	-1.4706962e-17	-1.8079745e-17	8.108628e-18	-1.7216848e-18	0	-3.0141632e-18
6.900099999992667e-10	9.491186e-10	3.4168268e-09	0.00030081096	0.03547329	-1.4706964e-17	-1.8079285e-17	8.108419e-18	-1.7219337e-18	0	-3.0141632e-18
7.000099999992491e-10	2.7049878e-09	3.4168268e-09	0.00030076277	0.035478573	-1.4706964e-17	-1.8078851e-17	8.1082196e-18	-1.7221698e-18	0	-3.014163e-18
7.100099999992315e-10	-1.6609575e-09	5.315064e-09	0.00030074661	0.035483565	-1.4706964e-17	-1.8078436e-17	8.10803e-18	-1.7223952e-18	0	-3.014163e-18
7.200099999992138e-10	-5.1252402e-09	5.315064e-09	0.00030080794	0.035488226	-1.4706967e-17	-1.8078044e-17	8.10785e-18	-1.7226084e-18	0	-3.014163e-18
7.300099999991962e-10	-1.4236778e-09	4.9354165e-09	0.00030079522	0.035492837	-1.4706964e-17	-1.8077667e-17	8.107679e-18	-1.7228112e-18	0	-3.014163e-18
7.400099999991786e-10	4.0812096e-09	4.555769e-09	0.00030075098	0.035497148	-1.4706964e-17	-1.8077311e-17	8.107515e-18	-1.7230053e-18	0	-3.014163e-18
7.50009999999161e-10	6.7387416e-09	7.972596e-09	0.0003005754	0.035501298	-1.4706965e-17	-1.807697e-17	8.1073585e-18	-1.7231901e-18	0	-3.0141624e-18
7.600099999991434e-10	4.555769e-09	1.2148718e-08	0.00030040246	0.035505224	-1.4706965e-17	-1.8076648e-17	8.1072104e-18	-1.7233654e-18	0	-3.0141626e-18
7.700099999991258e-10	1.7084134e-09	4.555769e-09	0.0003002563	0.035508838	-1.4706967e-17	-1.807634e-17	8.10707e-18	-1.723533e-18	0	-3.0141626e-18
7.800099999991082e-10	-3.321915e-10	3.0371794e-09	0.00030008395	0.035512496	-1.4706965e-17	-1.8076049e-17	8.1069374e-18	-1.7236909e-18	0	-3.0141626e-18
7.900099999990906e-10	2.8473557e-10	5.315064e-09	0.00029999606	0.035515785	-1.4706964e-17	-1.8075769e-17	8.106809e-18	-1.723842e-18	0	-3.0141626e-18
8.00009999999073e-10	9.491186e-10	7.972596e-09	0.0002999374	0.035519093	-1.4706965e-17	-1.8075504e-17	8.106688e-18	-1.7239859e-18	0	-3.0141624e-18
8.100099999990553e-10	3.7490184e-09	7.213301e-09	0.00029984477	0.03552216	-1.4706969e-17	-1.8075255e-17	8.106573e-18	-1.7241226e-18	0	-3.0141624e-18
8.200099999990377e-10	1.8982371e-10	7.5929485e-09	0.00029970467	0.035524964	-1.4706965e-17	-1.8075015e-17	8.1064635e-18	-1.7242515e-18	0	-3.0141626e-18
