# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.009490227	1.3994075e-17	-8.0432005e-17	1.0021888e-16	6.272e-18	0	-1.2064801e-17
1.0000000000000124e-11	1.26276e-09	3.7942086e-10	0.0008124463	0.014775963	8.77521e-18	-7.79121e-17	9.736643e-17	1.2282738e-18	0	-1.1907392e-17
2.0009999999999403e-11	3.0827945e-09	1.8971043e-10	0.002741038	0.017788554	7.888674e-18	-7.618686e-17	9.5247253e-17	6.1167995e-19	0	-1.1783397e-17
3.000999999999824e-11	4.458195e-09	1.1382626e-09	0.0058767213	0.020533891	7.392688e-18	-7.441271e-17	9.308157e-17	4.2647494e-19	0	-1.1702644e-17
4.000000000000001e-11	5.1221813e-09	3.4147878e-09	0.009502843	0.023334313	6.981394e-18	-7.2305915e-17	9.0486095e-17	3.1575978e-19	0	-1.1514544e-17
5.0000000000001785e-11	5.2170366e-09	3.7942085e-09	0.0135910325	0.026353342	6.6930827e-18	-6.96977e-17	8.7274715e-17	3.6137422e-19	0	-1.1245309e-17
6.00000000000024e-11	3.6993533e-09	5.6913128e-09	0.018192267	0.029753888	6.427165e-18	-6.6577484e-17	8.342883e-17	5.081337e-19	0	-1.093231e-17
7.000999999999771e-11	1.802249e-09	7.208996e-09	0.023338536	0.03348624	6.1617664e-18	-6.2983127e-17	7.8998e-17	7.554048e-19	0	-1.0608507e-17
8.000999999999302e-11	-1.8971043e-09	1.0244363e-08	0.02899332	0.037098758	5.8863496e-18	-5.9044873e-17	7.413315e-17	1.0726741e-18	0	-1.0274604e-17
9.000999999998834e-11	-5.1221813e-09	1.0623784e-08	0.034995183	0.04052285	5.588518e-18	-5.4911574e-17	6.9006735e-17	1.4173245e-18	0	-9.92397e-18
1.0000999999998365e-10	-7.588417e-09	1.0244363e-08	0.040983494	0.044042632	5.2546582e-18	-5.0666927e-17	6.371313e-17	1.7710698e-18	0	-9.562618e-18
1.1000999999997896e-10	-8.347259e-09	1.0623784e-08	0.046348322	0.04789949	4.870164e-18	-4.6286704e-17	5.8217216e-17	2.164335e-18	0	-9.224684e-18
1.2000999999997891e-10	-9.106101e-09	1.2141467e-08	0.050302155	0.052190125	4.4228318e-18	-4.174722e-17	5.2502328e-17	2.6472884e-18	0	-8.979566e-18
1.3000999999998715e-10	-5.5016023e-09	1.0623784e-08	0.052214175	0.056754146	3.9081476e-18	-3.7192876e-17	4.6767644e-17	3.2474114e-18	0	-8.9140325e-18
1.400099999999954e-10	1.7073939e-09	1.13826255e-08	0.05217968	0.06148762	3.3340625e-18	-3.2954965e-17	4.1433308e-17	3.9464493e-18	0	-9.09073e-18
1.5000000000000362e-10	1.1572336e-08	9.864943e-09	0.05167574	0.065873474	2.7174415e-18	-2.9419314e-17	3.6976178e-17	4.65947e-18	0	-9.498893e-18
1.6000000000001186e-10	2.0393871e-08	1.2900309e-08	0.053901795	0.06897278	2.0645735e-18	-2.6862985e-17	3.3736833e-17	5.209269e-18	0	-1.00185436e-17
1.700000000000201e-10	3.081609e-08	1.5176834e-08	0.063000746	0.070085205	1.3565138e-18	-2.5376146e-17	3.1824848e-17	5.319985e-18	0	-1.041217e-17
1.8000000000002833e-10	4.240028e-08	1.745336e-08	0.08087261	0.06945864	5.427589e-19	-2.4720867e-17	3.0934636e-17	4.812124e-18	0	-1.04831345e-17
1.9000000000003657e-10	5.90948e-08	2.1247567e-08	0.10297803	0.068154395	-3.9976602e-19	-2.4368516e-17	3.040057e-17	3.9367883e-18	0	-1.03686105e-17
2.000000000000448e-10	7.844526e-08	1.2141467e-08	0.12126582	0.06639183	-1.3860725e-18	-2.4064055e-17	2.991738e-17	3.050077e-18	0	-1.0289474e-17
2.1000000000005304e-10	9.9123696e-08	-2.655946e-09	0.13168813	0.06362315	-2.3151441e-18	-2.3652616e-17	2.9322997e-17	2.2258452e-18	0	-1.0211367e-17
2.2000000000006128e-10	1.16482205e-07	-2.4472644e-08	0.13449028	0.06004552	-3.1630826e-18	-2.2591957e-17	2.7989833e-17	1.5062735e-18	0	-1.0067231e-17
2.3000000000006952e-10	1.2596773e-07	-4.6668767e-08	0.13101055	0.057418652	-3.9572916e-18	-2.0616481e-17	2.5595582e-17	9.792528e-19	0	-9.915646e-18
2.4000000000005925e-10	1.2331178e-07	-6.7062636e-08	0.122616254	0.05634854	-4.708325e-18	-1.8192373e-17	2.2687645e-17	6.8569447e-19	0	-9.889293e-18
2.5000000000004163e-10	1.073761e-07	-7.749671e-08	0.11124515	0.055772007	-5.528096e-18	-1.6120326e-17	2.0230887e-17	4.1620572e-19	0	-1.0054865e-17
2.60000000000024e-10	8.461085e-08	-7.7591565e-08	0.09700673	0.05541148	-6.1082623e-18	-1.4535343e-17	1.8351176e-17	4.0145035e-19	0	-1.0325544e-17
2.700000000000064e-10	6.260444e-08	-6.874632e-08	0.08168593	0.05490485	-6.5588913e-18	-1.3431204e-17	1.7047349e-17	4.0603908e-19	0	-1.0581075e-17
2.800099999999888e-10	3.8321506e-08	-5.7719397e-08	0.067118004	0.053894054	-6.941812e-18	-1.2786772e-17	1.6286728e-17	3.3329588e-19	0	-1.0775065e-17
2.9000999999997117e-10	1.9540174e-08	-4.6075918e-08	0.054531366	0.052472074	-7.297697e-18	-1.2436444e-17	1.5866204e-17	1.9419163e-19	0	-1.0921647e-17
3.0000999999995355e-10	2.2765252e-09	-3.696982e-08	0.04441251	0.050794054	-7.644027e-18	-1.2268626e-17	1.5647218e-17	2.3902848e-20	0	-1.1046524e-17
3.1000999999993594e-10	-1.2141467e-08	-2.8409136e-08	0.036480147	0.049036745	-7.989588e-18	-1.2261491e-17	1.5594538e-17	-1.5839316e-19	0	-1.1164242e-17
3.2000999999991833e-10	-2.5610907e-08	-2.1437279e-08	0.030047256	0.047400612	-8.340032e-18	-1.2259027e-17	1.5527821e-17	-3.3636113e-19	0	-1.1272465e-17
3.300099999999007e-10	-3.5452135e-08	-1.5888249e-08	0.024517892	0.04584249	-8.694978e-18	-1.2099212e-17	1.5258847e-17	-4.9083197e-19	0	-1.1363781e-17
3.400099999998831e-10	-4.2115715e-08	-1.1999185e-08	0.019536741	0.0441684	-9.048537e-18	-1.1699764e-17	1.4693343e-17	-6.072535e-19	0	-1.1434863e-17
3.500099999998655e-10	-4.2020858e-08	-7.588417e-09	0.014977924	0.042433728	-9.392383e-18	-1.1050197e-17	1.3825709e-17	-6.779545e-19	0	-1.1489939e-17
3.600099999998479e-10	-3.7942087e-08	-1.8971043e-09	0.010892434	0.040652815	-9.718692e-18	-1.0189052e-17	1.2711057e-17	-7.0244395e-19	0	-1.1538255e-17
3.7000999999983027e-10	-2.8456563e-08	3.4147878e-09	0.0074241804	0.03882358	-1.0022438e-17	-9.187127e-18	1.1441242e-17	-6.8995187e-19	0	-1.1586601e-17
3.8000999999981266e-10	-1.4797413e-08	1.2141467e-08	0.004719183	0.03695333	-1.0301932e-17	-8.123239e-18	1.0113257e-17	-6.5650425e-19	0	-1.1635447e-17
3.9000999999979505e-10	5.691313e-10	2.2765251e-08	0.0028726263	0.03505446	-1.0556837e-17	-7.0732e-18	8.816428e-18	-6.164059e-19	0	-1.168366e-17
4.0000999999977743e-10	1.6504806e-08	3.4147877e-08	0.0018962263	0.033190295	-1.0784609e-17	-6.0925823e-18	7.615746e-18	-5.744116e-19	0	-1.1733361e-17
4.100099999997598e-10	3.168164e-08	4.401282e-08	0.0016726666	0.03141435	-1.0978987e-17	-5.19215e-18	6.526488e-18	-5.257578e-19	0	-1.1787567e-17
4.200099999997422e-10	4.3728253e-08	4.8186447e-08	0.0019899448	0.030062333	-1.1133992e-17	-4.4126926e-18	5.5956494e-18	-4.699883e-19	0	-1.184696e-17
4.300099999997246e-10	5.2170368e-08	4.856587e-08	0.0026850034	0.029041065	-1.1251374e-17	-3.8620583e-18	4.9437822e-18	-4.2834468e-19	0	-1.1904754e-17
4.40009999999707e-10	5.7885394e-08	4.477166e-08	0.003565376	0.027946962	-1.1343766e-17	-3.5359006e-18	4.5644533e-18	-4.2487248e-19	0	-1.1947446e-17
