# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.0015184366	-1.7014081e-16	-5.02704e-16	4.0284884e-16	5.120001e-18	0	-7.54056e-17
1.0000000000000124e-11	2.6748959e-10	-3.7941785e-11	0.0005902748	0.005379921	-1.7833898e-16	-4.9656084e-16	3.9845692e-16	-5.090622e-18	0	-7.514443e-17
2.0009999999999403e-11	1.041502e-09	5.1600824e-10	0.0013902134	0.0062194495	-1.7957488e-16	-4.9112855e-16	3.9438712e-16	-7.687642e-18	0	-7.5145805e-17
3.000999999999824e-11	2.3599789e-09	1.4873179e-09	0.0021016952	0.006797035	-1.8014902e-16	-4.867948e-16	3.910977e-16	-9.241972e-18	0	-7.52099e-17
4.000000000000001e-11	3.760031e-09	2.6445424e-09	0.0026708008	0.0071868896	-1.804645e-16	-4.8350134e-16	3.8857025e-16	-1.0250827e-17	0	-7.528255e-17
5.0000000000001785e-11	4.9684767e-09	4.080639e-09	0.00306043	0.007439975	-1.8064824e-16	-4.8139386e-16	3.8693987e-16	-1.08675295e-17	0	-7.532672e-17
6.00000000000024e-11	5.8221667e-09	5.3365117e-09	0.0032627035	0.007572613	-1.8077086e-16	-4.8043195e-16	3.8618998e-16	-1.11862314e-17	0	-7.534269e-17
7.000999999999771e-11	6.516501e-09	6.259446e-09	0.0032897356	0.0075842813	-1.8087203e-16	-4.8041316e-16	3.861677e-16	-1.1284476e-17	0	-7.5342105e-17
8.000999999999302e-11	6.611356e-09	6.9850823e-09	0.003155626	0.007480417	-1.8097085e-16	-4.811115e-16	3.8669598e-16	-1.1219421e-17	0	-7.5335885e-17
9.000999999998834e-11	6.271777e-09	6.4975305e-09	0.002879334	0.007285092	-1.8107459e-16	-4.8231237e-16	3.8760545e-16	-1.1036509e-17	0	-7.533116e-17
1.0000999999998365e-10	5.23976e-09	5.1373177e-09	0.0025001212	0.0070392047	-1.8118155e-16	-4.8377736e-16	3.8871194e-16	-1.0784549e-17	0	-7.533159e-17
1.1000999999997896e-10	3.0732845e-09	2.830457e-09	0.002085595	0.0067976965	-1.8128511e-16	-4.8522754e-16	3.89804e-16	-1.05240196e-17	0	-7.5337565e-17
