# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.0018746129	-4.9289492e-17	-4.0712e-16	4.1278652e-16	6.112001e-18	0	-6.1068e-17
1.0000000000000124e-11	-2.330777e-10	-4.6849788e-11	0.00034974312	0.0041657668	-5.4799634e-17	-4.0406113e-16	4.099782e-16	1.7007186e-19	0	-6.088662e-17
2.0009999999999403e-11	-8.175288e-10	-3.197498e-10	0.0009248971	0.0048908712	-5.5675284e-17	-4.0176456e-16	4.0774543e-16	-8.4341015e-19	0	-6.081276e-17
3.000999999999824e-11	-1.7147023e-09	-6.231022e-10	0.0016129913	0.0054057697	-5.612712e-17	-3.9951603e-16	4.0557203e-16	-1.4058623e-18	0	-6.077724e-17
4.000000000000001e-11	-2.9983864e-09	-9.346534e-10	0.0023509134	0.0058642365	-5.644644e-17	-3.9692843e-16	4.0306023e-16	-1.8701913e-18	0	-6.070803e-17
5.0000000000001785e-11	-4.244591e-09	-1.2930542e-09	0.003147871	0.006304779	-5.6713826e-17	-3.938188e-16	4.0002356e-16	-2.2883687e-18	0	-6.063021e-17
6.00000000000024e-11	-5.8843335e-09	-1.7334422e-09	0.0040099304	0.0067474	-5.695911e-17	-3.901499e-16	3.9642015e-16	-2.67674e-18	0	-6.0552625e-17
7.000999999999771e-11	-7.645886e-09	-2.4080793e-09	0.0049288073	0.007195312	-5.719717e-17	-3.8591205e-16	3.922376e-16	-3.0460455e-18	0	-6.047669e-17
8.000999999999302e-11	-9.847826e-09	-3.157676e-09	0.005885299	0.0076534	-5.7435934e-17	-3.8111842e-16	3.8748708e-16	-3.4027733e-18	0	-6.040178e-17
9.000999999998834e-11	-1.23074395e-08	-4.1227817e-09	0.006859846	0.00813075	-5.7681256e-17	-3.7577804e-16	3.821752e-16	-3.752243e-18	0	-6.0326176e-17
1.0000999999998365e-10	-1.5155907e-08	-4.872378e-09	0.007829826	0.008635536	-5.7937537e-17	-3.6991575e-16	3.7632358e-16	-4.097578e-18	0	-6.0247806e-17
1.1000999999997896e-10	-1.8126183e-08	-5.865594e-09	0.008769591	0.009179361	-5.8208825e-17	-3.635752e-16	3.6997086e-16	-4.4402828e-18	0	-6.0164234e-17
1.2000999999997891e-10	-2.1658657e-08	-7.102428e-09	0.009649188	0.009767083	-5.849947e-17	-3.5682896e-16	3.6318258e-16	-4.780251e-18	0	-6.0072834e-17
1.3000999999998715e-10	-2.5326996e-08	-8.1331235e-09	0.010433781	0.010413421	-5.881449e-17	-3.4979102e-16	3.5606327e-16	-5.115799e-18	0	-5.9970945e-17
1.400099999999954e-10	-2.9623122e-08	-9.369958e-09	0.011086398	0.01111747	-5.9159375e-17	-3.4262822e-16	3.4876955e-16	-5.4441947e-18	0	-5.985653e-17
1.5000000000000362e-10	-3.360067e-08	-1.0119555e-08	0.011574819	0.011883682	-5.953965e-17	-3.3556965e-16	3.415225e-16	-5.7628366e-18	0	-5.9729647e-17
1.6000000000001186e-10	-3.7479833e-08	-1.113151e-08	0.011885181	0.012703072	-5.9960364e-17	-3.2885758e-16	3.3456377e-16	-6.0729694e-18	0	-5.959361e-17
1.700000000000201e-10	-3.997224e-08	-1.2031026e-08	0.012029531	0.013543717	-6.042245e-17	-3.227405e-16	3.2815435e-16	-6.379537e-18	0	-5.94568e-17
1.8000000000002833e-10	-4.1162224e-08	-1.2555744e-08	0.012047091	0.014375939	-6.092273e-17	-3.1737856e-16	3.224779e-16	-6.690815e-18	0	-5.93313e-17
1.9000000000003657e-10	-4.1077897e-08	-1.3117941e-08	0.011988123	0.015180852	-6.145379e-17	-3.1280712e-16	3.1759683e-16	-7.0140896e-18	0	-5.922943e-17
2.000000000000448e-10	-4.00472e-08	-1.3905018e-08	0.011894592	0.015934654	-6.2005154e-17	-3.0894063e-16	3.1344798e-16	-7.352969e-18	0	-5.915955e-17
2.1000000000005304e-10	-3.80514e-08	-1.4204856e-08	0.011790196	0.016615236	-6.2565235e-17	-3.05616e-16	3.0988176e-16	-7.706966e-18	0	-5.912404e-17
2.2000000000006128e-10	-3.5535564e-08	-1.4874808e-08	0.011681907	0.017214395	-6.312356e-17	-3.0264567e-16	3.0671444e-16	-8.072122e-18	0	-5.912021e-17
2.3000000000006952e-10	-3.2785483e-08	-1.5020042e-08	0.0115668215	0.01773247	-6.3671394e-17	-2.9985644e-16	3.0376976e-16	-8.442268e-18	0	-5.9142474e-17
2.4000000000005925e-10	-2.9918276e-08	-1.5919559e-08	0.011438562	0.018180603	-6.420266e-17	-2.9710956e-16	3.0090178e-16	-8.810654e-18	0	-5.918425e-17
2.5000000000004163e-10	-2.6668072e-08	-1.671542e-08	0.011291279	0.01857066	-6.4713125e-17	-2.9430517e-16	2.9800268e-16	-9.171352e-18	0	-5.923928e-17
2.60000000000024e-10	-2.3995291e-08	-1.759034e-08	0.011121329	0.018914774	-6.5200566e-17	-2.9137806e-16	2.9499969e-16	-9.519922e-18	0	-5.9302266e-17
2.700000000000064e-10	-2.149e-08	-1.9014573e-08	0.01092754	0.019223649	-6.56641e-17	-2.8828986e-16	2.9184833e-16	-9.853497e-18	0	-5.9369075e-17
2.800099999999888e-10	-1.912877e-08	-2.0614493e-08	0.010710717	0.019501494	-6.6104245e-17	-2.8501753e-16	2.8852094e-16	-1.0170795e-17	0	-5.9436845e-17
2.9000999999997117e-10	-1.6631676e-08	-2.1882366e-08	0.010474156	0.019749781	-6.652076e-17	-2.8156045e-16	2.850137e-16	-1.0470521e-17	0	-5.9503495e-17
3.0000999999995355e-10	-1.48607535e-08	-2.3807893e-08	0.010221875	0.019969976	-6.691526e-17	-2.7791755e-16	2.8132312e-16	-1.0752965e-17	0	-5.9567877e-17
3.1000999999993594e-10	-1.3122626e-08	-2.5669586e-08	0.0099587925	0.020163003	-6.728899e-17	-2.7409915e-16	2.7745792e-16	-1.1018594e-17	0	-5.962918e-17
3.2000999999991833e-10	-1.1998231e-08	-2.7754986e-08	0.009689938	0.020328568	-6.7643317e-17	-2.7012264e-16	2.734345e-16	-1.12683796e-17	0	-5.968678e-17
3.300099999999007e-10	-1.0714547e-08	-2.965826e-08	0.009419925	0.020465756	-6.797958e-17	-2.6600953e-16	2.6927373e-16	-1.1503736e-17	0	-5.974008e-17
3.400099999998831e-10	-9.627632e-09	-3.1150424e-08	0.0091528315	0.0205745	-6.829941e-17	-2.6178035e-16	2.6499587e-16	-1.1726391e-17	0	-5.978853e-17
3.500099999998655e-10	-9.116969e-09	-3.208508e-08	0.008892202	0.020655852	-6.860434e-17	-2.5744926e-16	2.6061478e-16	-1.1938146e-17	0	-5.983172e-17
3.600099999998479e-10	-8.94831e-09	-3.3574903e-08	0.008641201	0.020712756	-6.88961e-17	-2.5302012e-16	2.5613408e-16	-1.21406366e-17	0	-5.986944e-17
3.7000999999983027e-10	-9.3231085e-09	-3.4162866e-08	0.008402717	0.020752313	-6.917641e-17	-2.4848553e-16	2.5154613e-16	-1.2335142e-17	0	-5.990185e-17
3.8000999999981266e-10	-9.637001e-09	-3.4008263e-08	0.008179286	0.020790435	-6.9446875e-17	-2.438293e-16	2.4683435e-16	-1.25224755e-17	0	-5.992942e-17
3.9000999999979505e-10	-9.161476e-09	-3.4846874e-08	0.007972749	0.02085437	-6.97091e-17	-2.3903159e-16	2.4197847e-16	-1.2702904e-17	0	-5.995307e-17
4.0000999999977743e-10	-9.704934e-09	-3.4387746e-08	0.0077837147	0.020922739	-6.996427e-17	-2.3407594e-16	2.3696183e-16	-1.2876098e-17	0	-5.997409e-17
4.100099999997598e-10	-1.05576e-08	-3.3737706e-08	0.007610829	0.02098803	-7.021319e-17	-2.2895732e-16	2.3177945e-16	-1.3041104e-17	0	-5.9994225e-17
4.200099999997422e-10	-1.09072165e-08	-3.3364078e-08	0.0074499836	0.02105062	-7.045632e-17	-2.236896e-16	2.2644523e-16	-1.3196393e-17	0	-6.0015553e-17
4.300099999997246e-10	-9.809175e-09	-3.2690025e-08	0.0072936537	0.021111498	-7.0693204e-17	-2.1831058e-16	2.2099776e-16	-1.33400005e-17	0	-6.0040395e-17
4.40009999999707e-10	-9.847826e-09	-3.0916176e-08	0.0071305768	0.02117207	-7.0922916e-17	-2.1288478e-16	2.1550265e-16	-1.3469787e-17	0	-6.007096e-17
4.5000999999968937e-10	-9.941525e-09	-2.9531765e-08	0.0069459514	0.021234505	-7.1143846e-17	-2.0750213e-16	2.1005121e-16	-1.3583743e-17	0	-6.010919e-17
4.6000999999967176e-10	-1.1660912e-08	-2.7290003e-08	0.0067222286	0.021302018	-7.1353897e-17	-2.0227221e-16	2.0475498e-16	-1.3680349e-17	0	-6.015631e-17
4.700099999996541e-10	-1.1895161e-08	-2.5214558e-08	0.0064405296	0.021377878	-7.155073e-17	-1.9731516e-16	1.9973601e-16	-1.3758884e-17	0	-6.021268e-17
4.800099999996365e-10	-1.2077876e-08	-2.2843958e-08	0.0060824477	0.02146022	-7.173202e-17	-1.9274935e-16	1.9511458e-16	-1.38196585e-17	0	-6.027759e-17
4.900099999996189e-10	-1.1754612e-08	-2.249727e-08	0.0056323647	0.021546433	-7.189571e-17	-1.8867855e-16	1.9099625e-16	-1.386412e-17	0	-6.034931e-17
5.000099999996013e-10	-1.1431348e-08	-2.1485313e-08	0.0050791176	0.02163449	-7.2040443e-17	-1.8518076e-16	1.8746037e-16	-1.3894776e-17	0	-6.042527e-17
5.100099999995837e-10	-1.1923271e-08	-2.015478e-08	0.0044181645	0.021723218	-7.2165665e-17	-1.823018e-16	1.8455352e-16	-1.3914984e-17	0	-6.050238e-17
5.200099999995661e-10	-1.2665841e-08	-1.8664956e-08	0.003652555	0.02181186	-7.227163e-17	-1.8005349e-16	1.8228783e-16	-1.392857e-17	0	-6.057741e-17
5.300099999995485e-10	-1.3600494e-08	-1.8627476e-08	0.0027931887	0.021899834	-7.235967e-17	-1.7841733e-16	1.806445e-16	-1.3939449e-17	0	-6.0647394e-17
5.400099999995309e-10	-1.3806633e-08	-1.7147023e-08	0.0018582863	0.021986559	-7.24316e-17	-1.773511e-16	1.7958066e-16	-1.3951203e-17	0	-6.070997e-17
5.500099999995133e-10	-1.5052837e-08	-1.6828444e-08	0.0008720098	0.022071613	-7.248988e-17	-1.7679711e-16	1.7903757e-16	-1.3966763e-17	0	-6.076354e-17
5.600099999994956e-10	-1.548854e-08	-1.6434907e-08	-0.00013743942	0.022154624	-7.253703e-17	-1.7668951e-16	1.7894811e-16	-1.3988223e-17	0	-6.0807403e-17
5.70009999999478e-10	-1.6727718e-08	-1.6716005e-08	-0.0011401109	0.02223517	-7.2575715e-17	-1.7696042e-16	1.7924309e-16	-1.4016776e-17	0	-6.084161e-17
5.800099999994604e-10	-1.781229e-08	-1.769048e-08	-0.0021066072	0.022313634	-7.260827e-17	-1.7754381e-16	1.7985512e-16	-1.4052745e-17	0	-6.0866855e-17
5.900099999994428e-10	-1.8540804e-08	-1.8777396e-08	-0.0030099717	0.022389255	-7.263671e-17	-1.7837795e-16	1.8072127e-16	-1.4095757e-17	0	-6.088428e-17
6.000099999994252e-10	-1.9489512e-08	-1.8927315e-08	-0.0038273002	0.022460947	-7.2662635e-17	-1.7940644e-16	1.8178395e-16	-1.4144903e-17	0	-6.089525e-17
6.100099999994076e-10	-1.9327882e-08	-1.8308898e-08	-0.004540663	0.022528503	-7.268723e-17	-1.8057842e-16	1.8299134e-16	-1.419895e-17	0	-6.0901206e-17
6.2000999999939e-10	-2.0084505e-08	-1.9039755e-08	-0.0051376466	0.022592125	-7.271136e-17	-1.8184833e-16	1.8429697e-16	-1.4256519e-17	0	-6.0903495e-17
6.300099999993724e-10	-2.1841371e-08	-1.990179e-08	-0.0056113177	0.022652315	-7.273552e-17	-1.8317553e-16	1.8565954e-16	-1.431623e-17	0	-6.09033e-17
