# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.016871518	-5.4184975e-18	-4.5216005e-17	4.0563908e-17	6.0160006e-18	0	-6.7824004e-18
1.0000000000000124e-11	-6.749287e-10	-4.2183045e-11	0.0020880671	0.02683469	-1.21259615e-17	-4.184962e-17	3.7815716e-17	-1.453951e-18	0	-6.638106e-18
2.0009999999999403e-11	1.8560541e-09	-8.436609e-10	0.005825112	0.029005641	-1.2952637e-17	-3.9466554e-17	3.5764348e-17	-2.6281366e-18	0	-6.622306e-18
3.000999999999824e-11	5.9056267e-09	-1.6873218e-09	0.010079238	0.031515904	-1.3359185e-17	-3.7315137e-17	3.3895056e-17	-3.3532208e-18	0	-6.5858784e-18
4.000000000000001e-11	1.0461395e-08	-3.0371794e-09	0.01478718	0.03433357	-1.3677392e-17	-3.507289e-17	3.1918187e-17	-3.9559814e-18	0	-6.566705e-18
5.0000000000001785e-11	1.7379415e-08	-5.9056267e-09	0.019676138	0.037320245	-1.3975268e-17	-3.2768475e-17	2.984492e-17	-4.5022295e-18	0	-6.5494833e-18
6.00000000000024e-11	2.3622507e-08	-6.7492874e-09	0.024184862	0.041989125	-1.4279204e-17	-3.060927e-17	2.7846208e-17	-4.9863763e-18	0	-6.529764e-18
7.000999999999771e-11	2.8895387e-08	-7.8460465e-09	0.027731594	0.047051355	-1.4624866e-17	-2.8718533e-17	2.6032153e-17	-5.4458205e-18	0	-6.4926655e-18
8.000999999999302e-11	3.1088906e-08	-8.352243e-09	0.029310308	0.052250184	-1.5035449e-17	-2.764347e-17	2.491955e-17	-5.856765e-18	0	-6.4547645e-18
9.000999999998834e-11	2.6828417e-08	-7.0867516e-09	0.028144574	0.05745242	-1.549759e-17	-2.746477e-17	2.4633813e-17	-6.231758e-18	0	-6.434875e-18
1.0000999999998365e-10	2.1260256e-08	-4.218305e-09	0.024453608	0.061734755	-1.5971756e-17	-2.749087e-17	2.459536e-17	-6.6363716e-18	0	-6.4398745e-18
1.1000999999997896e-10	1.4173503e-08	-4.2183046e-10	0.018986456	0.0648358	-1.6423077e-17	-2.7354042e-17	2.4462091e-17	-7.063924e-18	0	-6.4672033e-18
1.2000999999997891e-10	8.099145e-09	4.555769e-09	0.012393417	0.06713442	-1.682454e-17	-2.7152212e-17	2.4299152e-17	-7.457722e-18	0	-6.5137524e-18
1.3000999999998715e-10	1.3498574e-09	8.963897e-09	0.005316139	0.069025554	-1.715561e-17	-2.706521e-17	2.4253788e-17	-7.772424e-18	0	-6.571763e-18
1.400099999999954e-10	-6.074359e-09	1.564991e-08	-0.0014034593	0.07068835	-1.7405516e-17	-2.7199939e-17	2.4412573e-17	-7.9865934e-18	0	-6.6315587e-18
1.5000000000000362e-10	-1.5185897e-08	2.1766452e-08	-0.0068472484	0.07208382	-1.7574448e-17	-2.750476e-17	2.4722903e-17	-8.107473e-18	0	-6.6851153e-18
1.6000000000001186e-10	-2.2610113e-08	2.7587712e-08	-0.010342202	0.073153056	-1.76744e-17	-2.7835137e-17	2.505051e-17	-8.1629475e-18	0	-6.7268213e-18
