# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.016871518	-1.4401497e-17	-4.5216e-17	3.1580902e-17	6.0160006e-18	0	-6.7824004e-18
1.0000000000000124e-11	0	-1.6873218e-10	0.0015937937	0.024760434	-2.1062687e-17	-4.188771e-17	2.9472078e-17	-1.9557472e-18	0	-6.691306e-18
2.0009999999999403e-11	2.9528133e-09	-1.2233083e-09	0.0032856946	0.025162501	-2.1593313e-17	-4.067499e-17	2.867319e-17	-2.8542808e-18	0	-6.737235e-18
3.000999999999824e-11	4.0495727e-09	-2.0669693e-09	0.0040812083	0.025163969	-2.1764943e-17	-4.0441247e-17	2.8525555e-17	-3.086553e-18	0	-6.762703e-18
4.000000000000001e-11	3.2059115e-09	-1.6029558e-09	0.004001747	0.02451077	-2.1850793e-17	-4.054297e-17	2.8586856e-17	-3.1267334e-18	0	-6.7679467e-18
5.0000000000001785e-11	-8.436609e-10	-1.2654915e-10	0.0032276274	0.02399872	-2.1915116e-17	-4.089716e-17	2.8809586e-17	-3.0653973e-18	0	-6.762145e-18
6.00000000000024e-11	-6.411823e-09	2.1513353e-09	0.002407017	0.02385239	-2.1970647e-17	-4.1144553e-17	2.8961668e-17	-3.0243092e-18	0	-6.763457e-18
7.000999999999771e-11	-9.533369e-09	4.2499417e-09	0.0020128954	0.024095386	-2.201652e-17	-4.115622e-17	2.8962075e-17	-3.0561985e-18	0	-6.7661774e-18
8.000999999999302e-11	-8.774074e-09	5.1041487e-09	0.0020520396	0.02477482	-2.2057398e-17	-4.094609e-17	2.8813136e-17	-3.1583098e-18	0	-6.7661348e-18
9.000999999998834e-11	-6.6649215e-09	4.903779e-09	0.0023309973	0.02567828	-2.2096747e-17	-4.058275e-17	2.8561964e-17	-3.3099963e-18	0	-6.765968e-18
1.0000999999998365e-10	-4.7245012e-09	5.3467013e-09	0.002600408	0.02662515	-2.2134556e-17	-4.024219e-17	2.8327948e-17	-3.4537425e-18	0	-6.7665665e-18
1.1000999999997896e-10	-4.5979522e-09	5.7579856e-09	0.0026717843	0.027383476	-2.2170143e-17	-4.0033166e-17	2.8182156e-17	-3.551696e-18	0	-6.7674392e-18
1.2000999999997891e-10	-5.146332e-09	6.200908e-09	0.0025454033	0.027945703	-2.2203493e-17	-3.9925285e-17	2.810339e-17	-3.6134124e-18	0	-6.7681816e-18
1.3000999999998715e-10	-5.39943e-09	7.213301e-09	0.0023408295	0.02844013	-2.2234719e-17	-3.9836036e-17	2.8036615e-17	-3.6665823e-18	0	-6.768714e-18
1.400099999999954e-10	-7.0498416e-09	7.972596e-09	0.0021712855	0.028953316	-2.2264122e-17	-3.9717755e-17	2.7950363e-17	-3.727569e-18	0	-6.769158e-18
1.5000000000000362e-10	-8.31006e-09	8.816257e-09	0.002088138	0.029502146	-2.2292036e-17	-3.957442e-17	2.7847843e-17	-3.7958652e-18	0	-6.7695973e-18
1.6000000000001186e-10	-8.4998835e-09	9.3013615e-09	0.002086592	0.030065177	-2.2318794e-17	-3.942557e-17	2.7742375e-17	-3.865574e-18	0	-6.7700246e-18
