# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.016871518	-2.5770622e-17	-4.5216e-17	2.0211778e-17	6.0160006e-18	0	-6.7824004e-18
1.0000000000000124e-11	5.061966e-10	-4.6401352e-10	0.0008250246	0.021657879	-3.2317996e-17	-4.2219537e-17	1.9009337e-17	-2.3485045e-18	0	-6.759292e-18
2.0009999999999403e-11	-4.2183046e-10	-5.061966e-10	0.0004608125	0.019673826	-3.2583127e-17	-4.2955072e-17	1.9331936e-17	-2.1838168e-18	0	-6.7761742e-18
3.000999999999824e-11	-1.0756677e-09	3.3746436e-10	8.01866e-06	0.018040294	-3.264054e-17	-4.3343123e-17	1.9493168e-17	-2.010383e-18	0	-6.7802026e-18
4.000000000000001e-11	-9.965745e-10	-4.2183045e-11	0.00018973758	0.017930742	-3.265412e-17	-4.327623e-17	1.9465729e-17	-2.0619406e-18	0	-6.7816688e-18
5.0000000000001785e-11	-1.00184736e-10	-2.1091523e-10	0.0004738048	0.017701227	-3.2658315e-17	-4.3193992e-17	1.9431753e-17	-2.1140972e-18	0	-6.7819827e-18
6.00000000000024e-11	-4.4292198e-10	4.2183046e-10	0.00053936156	0.01768288	-3.2659632e-17	-4.321116e-17	1.9438241e-17	-2.104709e-18	0	-6.7819997e-18
7.000999999999771e-11	-1.9140558e-09	5.483796e-10	0.0005058127	0.017668776	-3.2660277e-17	-4.322111e-17	1.9441848e-17	-2.0989429e-18	0	-6.7820745e-18
8.000999999999302e-11	-1.1283965e-09	4.2183045e-11	0.00046235067	0.017750725	-3.2660694e-17	-4.3194068e-17	1.9429892e-17	-2.1144562e-18	0	-6.782061e-18
9.000999999998834e-11	-6.64383e-10	6.327457e-10	0.00040944316	0.017852409	-3.266103e-17	-4.3169845e-17	1.9419195e-17	-2.1283266e-18	0	-6.782057e-18
1.0000999999998365e-10	-4.692864e-10	1.2654914e-09	0.00035967442	0.017910032	-3.2661332e-17	-4.3162992e-17	1.9415729e-17	-2.132008e-18	0	-6.78206e-18
1.1000999999997896e-10	-9.596643e-10	1.4342236e-09	0.0003482753	0.017981702	-3.266159e-17	-4.314949e-17	1.9409518e-17	-2.1395583e-18	0	-6.7820638e-18
1.2000999999997891e-10	-1.6662304e-09	8.8584395e-10	0.0003632954	0.018055677	-3.2661822e-17	-4.3133876e-17	1.9402474e-17	-2.148352e-18	0	-6.782068e-18
1.3000999999998715e-10	6.538372e-10	7.5929485e-10	0.00038140579	0.018117651	-3.2662017e-17	-4.3122282e-17	1.939715e-17	-2.1548109e-18	0	-6.7820745e-18
1.400099999999954e-10	-4.798322e-10	-6.327457e-10	0.0003934077	0.01817675	-3.2662193e-17	-4.311154e-17	1.9392209e-17	-2.160781e-18	0	-6.7820803e-18
1.5000000000000362e-10	-6.0110844e-10	2.3200675e-09	0.0003966639	0.018232325	-3.2662335e-17	-4.3100858e-17	1.9387327e-17	-2.166725e-18	0	-6.7820836e-18
1.6000000000001186e-10	3.9019318e-10	1.3920405e-09	0.0003923565	0.018284135	-3.2662464e-17	-4.3091038e-17	1.9382839e-17	-2.1721777e-18	0	-6.782086e-18
1.700000000000201e-10	-1.05457615e-10	6.749287e-10	0.0003848955	0.018332332	-3.2662573e-17	-4.308208e-17	1.9378736e-17	-2.1771402e-18	0	-6.7820878e-18
1.8000000000002833e-10	-1.0756677e-09	5.9056265e-10	0.0003786168	0.018376919	-3.2662676e-17	-4.3073713e-17	1.93749e-17	-2.1817728e-18	0	-6.7820894e-18
1.9000000000003657e-10	-4.85105e-10	8.436609e-11	0.00037546337	0.018418016	-3.266276e-17	-4.3065898e-17	1.9371321e-17	-2.186094e-18	0	-6.7820902e-18
2.000000000000448e-10	-2.1566082e-09	2.530983e-10	0.0003751043	0.018457167	-3.2662828e-17	-4.305861e-17	1.9367987e-17	-2.1901143e-18	0	-6.782091e-18
2.1000000000005304e-10	-3.0213607e-09	5.483796e-10	0.00037615036	0.01849387	-3.266289e-17	-4.3051806e-17	1.9364874e-17	-2.1938662e-18	0	-6.7820923e-18
2.2000000000006128e-10	-3.8702943e-09	7.171118e-10	0.00037718326	0.01852756	-3.2662947e-17	-4.304544e-17	1.936196e-17	-2.1973722e-18	0	-6.782093e-18
2.3000000000006952e-10	-2.0564235e-09	-7.5929485e-10	0.00037742243	0.018559096	-3.2663003e-17	-4.303949e-17	1.9359232e-17	-2.20065e-18	0	-6.7820948e-18
2.4000000000005925e-10	-1.9562387e-09	5.061966e-10	0.00037678267	0.018588405	-3.2663043e-17	-4.3033906e-17	1.935668e-17	-2.2037194e-18	0	-6.782095e-18
2.5000000000004163e-10	-2.765626e-09	2.3200675e-09	0.00037564812	0.01861557	-3.266309e-17	-4.3028668e-17	1.935428e-17	-2.206598e-18	0	-6.782095e-18
2.60000000000024e-10	-3.4220997e-09	8.436609e-10	0.00037448245	0.018640561	-3.266312e-17	-4.3023755e-17	1.9352028e-17	-2.2093e-18	0	-6.782095e-18
2.700000000000064e-10	-2.2884303e-09	7.5929485e-10	0.00037356312	0.01866452	-3.2663152e-17	-4.3019126e-17	1.9349907e-17	-2.2118392e-18	0	-6.782096e-18
2.800099999999888e-10	-1.6108651e-09	1.0123932e-09	0.00037297237	0.018687561	-3.2663182e-17	-4.3014765e-17	1.934791e-17	-2.2142297e-18	0	-6.782096e-18
2.9000999999997117e-10	-2.393888e-09	1.2654914e-09	0.00037262074	0.018709054	-3.26632e-17	-4.301066e-17	1.9346034e-17	-2.2164782e-18	0	-6.7820964e-18
3.0000999999995355e-10	-1.7136863e-09	2.3622506e-09	0.00037237286	0.018729346	-3.2663218e-17	-4.3006788e-17	1.9344264e-17	-2.2185966e-18	0	-6.7820964e-18
3.1000999999993594e-10	-2.3965243e-09	1.6873218e-09	0.00037210138	0.018747892	-3.266324e-17	-4.300314e-17	1.934259e-17	-2.2205943e-18	0	-6.7820964e-18
3.2000999999991833e-10	-7.2765755e-10	8.436609e-10	0.00037174948	0.018766059	-3.2663255e-17	-4.2999697e-17	1.9341013e-17	-2.2224786e-18	0	-6.7820964e-18
3.300099999999007e-10	-1.017666e-09	-4.2183045e-11	0.00037134986	0.018784057	-3.266327e-17	-4.299644e-17	1.9339524e-17	-2.224258e-18	0	-6.782097e-18
3.400099999998831e-10	-1.1943075e-09	4.2183046e-10	0.00037094337	0.01879976	-3.2663288e-17	-4.2993367e-17	1.9338118e-17	-2.2259395e-18	0	-6.782097e-18
3.500099999998655e-10	-2.0616964e-09	9.2802704e-10	0.00037055108	0.018816132	-3.2663298e-17	-4.2990456e-17	1.9336786e-17	-2.2275285e-18	0	-6.782097e-18
3.600099999998479e-10	-2.591621e-09	8.8584395e-10	0.00037021056	0.018830692	-3.2663308e-17	-4.2987703e-17	1.9335524e-17	-2.229032e-18	0	-6.782097e-18
3.7000999999983027e-10	-1.6003193e-09	1.8560541e-09	0.00036991815	0.018845035	-3.266332e-17	-4.29851e-17	1.9334333e-17	-2.2304543e-18	0	-6.782097e-18
3.8000999999981266e-10	-1.1758524e-09	1.4342236e-09	0.00036965686	0.018858222	-3.266333e-17	-4.2982634e-17	1.9333201e-17	-2.2318011e-18	0	-6.782097e-18
3.9000999999979505e-10	-2.3991609e-09	1.4764067e-09	0.00036939947	0.018870385	-3.2663337e-17	-4.2980295e-17	1.933213e-17	-2.233077e-18	0	-6.782097e-18
4.0000999999977743e-10	-2.3807056e-09	1.6029558e-09	0.00036915514	0.018882504	-3.2663344e-17	-4.2978075e-17	1.9331117e-17	-2.2342862e-18	0	-6.782097e-18
4.100099999997598e-10	-1.3393118e-09	2.4466167e-09	0.00036893343	0.018894479	-3.266335e-17	-4.2975977e-17	1.9330157e-17	-2.2354322e-18	0	-6.782097e-18
4.200099999997422e-10	-1.4922252e-09	2.1935185e-09	0.0003687289	0.018904964	-3.2663357e-17	-4.2973982e-17	1.932924e-17	-2.2365194e-18	0	-6.782097e-18
