# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.009490227	2.4266498e-17	-8.0432005e-17	1.10491305e-16	6.272e-18	0	-1.2064801e-17
1.0000000000000124e-11	1.0997276e-09	0	0.0009102424	0.015247865	1.9061022e-17	-7.792858e-17	1.07370327e-16	1.5197854e-18	0	-1.1900507e-17
2.0009999999999403e-11	2.418808e-09	5.691313e-10	0.0032801172	0.019248655	1.8118311e-17	-7.611401e-17	1.0491257e-16	1.0639382e-18	0	-1.17441854e-17
3.000999999999824e-11	1.327973e-09	2.0868147e-09	0.0072055934	0.023067169	1.7494185e-17	-7.4262674e-17	1.0240752e-16	9.637874e-19	0	-1.1614446e-17
4.000000000000001e-11	-1.8496766e-09	3.983919e-09	0.0123759275	0.027194401	1.7078188e-17	-7.20502e-17	9.940088e-17	1.1490971e-18	0	-1.1421589e-17
5.0000000000001785e-11	-6.0707337e-09	7.3987065e-09	0.01790993	0.031840764	1.6752343e-17	-6.945787e-17	9.5875395e-17	1.4690522e-18	0	-1.113423e-17
6.00000000000024e-11	-1.17620464e-08	1.0244363e-08	0.023797683	0.036726348	1.6483397e-17	-6.6564494e-17	9.194648e-17	1.9043875e-18	0	-1.0802969e-17
7.000999999999771e-11	-1.7263648e-08	1.3848862e-08	0.030310465	0.041998573	1.6239481e-17	-6.3332336e-17	8.756211e-17	2.4777608e-18	0	-1.0468053e-17
8.000999999999302e-11	-2.0868146e-08	1.783278e-08	0.037473872	0.047868244	1.5996487e-17	-5.966225e-17	8.259535e-17	3.233331e-18	0	-1.0169942e-17
9.000999999998834e-11	-2.3144672e-08	2.1911553e-08	0.045404296	0.05425228	1.5737923e-17	-5.550717e-17	7.698037e-17	4.2066663e-18	0	-9.941945e-18
1.0000999999998365e-10	-2.1626988e-08	2.5942901e-08	0.054783795	0.06075492	1.5452973e-17	-5.098132e-17	7.086988e-17	5.3658987e-18	0	-9.801479e-18
1.1000999999997896e-10	-1.783278e-08	2.9416974e-08	0.06706217	0.066855244	1.5132957e-17	-4.6378693e-17	6.465202e-17	6.583882e-18	0	-9.724259e-18
1.2000999999997891e-10	-1.3659151e-08	3.2203346e-08	0.08414953	0.071870826	1.4760927e-17	-4.2089583e-17	5.8831845e-17	7.64905e-18	0	-9.630392e-18
1.3000999999998715e-10	-6.0707337e-09	3.4740722e-08	0.10723384	0.07544763	1.4293686e-17	-3.8368028e-17	5.3725358e-17	8.364171e-18	0	-9.427814e-18
1.400099999999954e-10	2.2765252e-09	3.547585e-08	0.13446572	0.07781429	1.3653459e-17	-3.5119607e-17	4.919516e-17	8.683639e-18	0	-9.1057316e-18
1.5000000000000362e-10	1.0623784e-08	2.8077142e-08	0.15990524	0.079770595	1.2777435e-17	-3.2054288e-17	4.487178e-17	8.73335e-18	0	-8.773407e-18
1.6000000000001186e-10	1.745336e-08	1.5556255e-08	0.17740095	0.08191225	1.1702765e-17	-2.903482e-17	4.0591225e-17	8.662585e-18	0	-8.516223e-18
1.700000000000201e-10	2.2765251e-08	-3.0353668e-09	0.18519309	0.083269	1.054319e-17	-2.5923185e-17	3.623152e-17	8.536875e-18	0	-8.30202e-18
1.8000000000002833e-10	3.2630194e-08	-2.2765251e-08	0.1853203	0.08430706	9.362947e-18	-2.2549461e-17	3.169314e-17	8.3424416e-18	0	-8.123174e-18
1.9000000000003657e-10	4.2115715e-08	-3.945977e-08	0.18034013	0.08392808	8.17492e-18	-1.9556489e-17	2.78431e-17	7.934799e-18	0	-8.0464896e-18
2.000000000000448e-10	6.0707336e-08	-4.477166e-08	0.17158999	0.0817983	6.960635e-18	-1.800081e-17	2.5925816e-17	7.146675e-18	0	-8.1110485e-18
2.1000000000005304e-10	8.6270816e-08	-3.566556e-08	0.15818779	0.07877865	5.6736215e-18	-1.7877388e-17	2.574549e-17	6.1787803e-18	0	-8.3732615e-18
