# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.002372557	7.923579e-17	-3.21808e-16	4.4393902e-16	5.376001e-18	0	-4.82712e-17
1.0000000000000124e-11	-1.6595536e-10	1.8521804e-10	0.0011463654	0.008119299	7.141126e-17	-3.1671202e-16	4.376158e-16	-1.5933882e-18	0	-4.7899108e-17
2.0009999999999403e-11	-4.978661e-10	3.6599082e-10	0.0037205457	0.011222651	6.938452e-17	-3.0989865e-16	4.2861553e-16	-2.0259076e-18	0	-4.7306466e-17
3.000999999999824e-11	-8.060689e-10	2.6671396e-10	0.007242495	0.01438494	6.772135e-17	-3.010357e-16	4.167094e-16	-1.5040818e-18	0	-4.644833e-17
4.000000000000001e-11	-1.1853954e-09	1.9559024e-10	0.011003045	0.017860616	6.607708e-17	-2.90961e-16	4.0296952e-16	-5.2796824e-19	0	-4.5403477e-17
5.0000000000001785e-11	-1.303935e-09	5.3342792e-11	0.01432789	0.0217465	6.4254516e-17	-2.8080834e-16	3.889071e-16	5.671401e-19	0	-4.441141e-17
6.00000000000024e-11	-2.0388802e-09	4.978661e-10	0.016755579	0.025972087	6.2131375e-17	-2.7155297e-16	3.758886e-16	1.4676726e-18	0	-4.367195e-17
7.000999999999771e-11	-3.8169734e-09	2.9279266e-09	0.018166743	0.030295791	5.958118e-17	-2.6351584e-16	3.6445625e-16	1.9345825e-18	0	-4.3293806e-17
8.000999999999302e-11	-6.1403482e-09	7.1242265e-09	0.018819334	0.034292925	5.645269e-17	-2.5624102e-16	3.5407264e-16	1.871375e-18	0	-4.3250303e-17
9.000999999998834e-11	-9.388332e-09	1.280227e-08	0.019235196	0.03744471	5.253762e-17	-2.488068e-16	3.4349743e-16	1.2301228e-18	0	-4.3383112e-17
1.0000999999998365e-10	-1.3513508e-08	1.9701272e-08	0.019976428	0.039288525	4.7636058e-17	-2.4032183e-16	3.3150998e-16	-9.9734976e-20	0	-4.3452377e-17
1.1000999999997896e-10	-1.6974862e-08	2.7643422e-08	0.021288	0.03974835	4.1802416e-17	-2.3018197e-16	3.1730513e-16	-2.1117586e-18	0	-4.320899e-17
