# t (s)	mx ()	my ()	mz ()	spinAngle (rad)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_therm (J)	E_custom (J)
0	0	0	0	0.00309885	-5.519082e-17	-2.46288e-16	2.2253641e-16	5.504001e-18	0	-3.69432e-17
1.0000000000000124e-11	-1.2391013e-10	-2.4782026e-10	0.00093371293	0.008576672	-6.2763606e-17	-2.4134594e-16	2.1852876e-16	-3.2430983e-18	0	-3.6703314e-17
2.0009999999999403e-11	-4.4917423e-10	-7.434608e-10	0.0024780487	0.01011288	-6.398338e-17	-2.3656656e-16	2.1445531e-16	-5.250513e-18	0	-3.6621612e-17
3.000999999999824e-11	-6.1955066e-11	-1.6882755e-09	0.0042411843	0.011527581	-6.468673e-17	-2.3164374e-16	2.1019439e-16	-6.6839544e-18	0	-3.6553416e-17
4.000000000000001e-11	3.0977532e-10	-3.190686e-09	0.0061796005	0.012977479	-6.525763e-17	-2.2643269e-16	2.0560822e-16	-7.916913e-18	0	-3.6516262e-17
5.0000000000001785e-11	1.3010564e-09	-5.436557e-09	0.00821971	0.014596718	-6.579888e-17	-2.2115011e-16	2.0085917e-16	-9.033801e-18	0	-3.647412e-17
6.00000000000024e-11	2.6021127e-09	-8.627243e-09	0.010170961	0.016491247	-6.639293e-17	-2.1631756e-16	1.9636847e-16	-1.0045179e-17	0	-3.6398657e-17
7.000999999999771e-11	3.0977532e-09	-1.1628191e-08	0.011708163	0.018635873	-6.713055e-17	-2.1262356e-16	1.9274e-16	-1.0965178e-17	0	-3.62818e-17
8.000999999999302e-11	3.0357983e-09	-1.3078327e-08	0.012440456	0.020797532	-6.806096e-17	-2.1048407e-16	1.9045249e-16	-1.18721064e-17	0	-3.615725e-17
9.000999999998834e-11	1.6108317e-09	-1.2317441e-08	0.012167296	0.022720378	-6.9144034e-17	-2.0947976e-16	1.8928718e-16	-1.287232e-17	0	-3.6079143e-17
1.0000999999998365e-10	-7.434608e-10	-9.831495e-09	0.010980642	0.024291122	-7.028113e-17	-2.0877841e-16	1.8854351e-16	-1.3979159e-17	0	-3.6067073e-17
1.1000999999997896e-10	-3.2526408e-09	-7.4500965e-09	0.009162	0.02553116	-7.138316e-17	-2.0784031e-16	1.876898e-16	-1.5128475e-17	0	-3.610416e-17
1.2000999999997891e-10	-5.173248e-09	-5.254564e-09	0.007043085	0.026519816	-7.2396786e-17	-2.0652834e-16	1.8654986e-16	-1.6251215e-17	0	-3.6167102e-17
1.3000999999998715e-10	-7.899271e-09	-2.7415117e-09	0.0049168626	0.027340742	-7.329907e-17	-2.049127e-16	1.8515543e-16	-1.7302028e-17	0	-3.623978e-17
1.400099999999954e-10	-1.0656271e-08	1.0842136e-10	0.0029996694	0.028013293	-7.4086286e-17	-2.031164e-16	1.8360228e-16	-1.8258942e-17	0	-3.631323e-17
1.5000000000000362e-10	-1.3599137e-08	2.9738432e-09	0.0014264197	0.02858865	-7.4764634e-17	-2.0125145e-16	1.8198495e-16	-1.9114865e-17	0	-3.6383265e-17
1.6000000000001186e-10	-1.6495536e-08	5.661144e-09	0.0002530129	0.029089088	-7.5346936e-17	-1.9939383e-16	1.8036972e-16	-1.9874755e-17	0	-3.644808e-17
1.700000000000201e-10	-1.9391935e-08	8.720176e-09	-0.00052014936	0.02954214	-7.5845587e-17	-1.9759262e-16	1.7880028e-16	-2.0546746e-17	0	-3.650649e-17
1.8000000000002833e-10	-2.2288335e-08	1.1848906e-08	-0.0009397638	0.02996352	-7.627348e-17	-1.9587835e-16	1.7730434e-16	-2.1141436e-17	0	-3.6558008e-17
1.9000000000003657e-10	-2.5120842e-08	1.4427786e-08	-0.0010794662	0.030366253	-7.6642314e-17	-1.942682e-16	1.7589767e-16	-2.1669252e-17	0	-3.6602537e-17
2.000000000000448e-10	-2.8780065e-08	1.6387114e-08	-0.0010241962	0.030756768	-7.696219e-17	-1.9275594e-16	1.7457524e-16	-2.2141276e-17	0	-3.6640207e-17
2.1000000000005304e-10	-3.22631e-08	1.8321275e-08	-0.00086027256	0.031136803	-7.7242006e-17	-1.913224e-16	1.7332032e-16	-2.2568473e-17	0	-3.6671454e-17
2.2000000000006128e-10	-3.587198e-08	2.000374e-08	-0.0006669366	0.031514775	-7.7489274e-17	-1.8995495e-16	1.7212219e-16	-2.2959571e-17	0	-3.6696948e-17
2.3000000000006952e-10	-3.9449887e-08	2.1731223e-08	-0.0005085588	0.031895697	-7.7710025e-17	-1.8864962e-16	1.7097782e-16	-2.3320797e-17	0	-3.671743e-17
2.4000000000005925e-10	-4.279546e-08	2.2667809e-08	-0.00042950994	0.032285485	-7.790939e-17	-1.8739823e-16	1.6987997e-16	-2.3657506e-17	0	-3.6733635e-17
2.5000000000004163e-10	-4.6172012e-08	2.4685221e-08	-0.0004533775	0.032688655	-7.8091475e-17	-1.8617845e-16	1.6880884e-16	-2.3975564e-17	0	-3.67463e-17
2.60000000000024e-10	-4.9780894e-08	2.5843006e-08	-0.0005861289	0.03310906	-7.8259975e-17	-1.8495919e-16	1.6773649e-16	-2.4281214e-17	0	-3.675607e-17
2.700000000000064e-10	-5.3064515e-08	2.6346392e-08	-0.00082041667	0.0335533	-7.8418105e-17	-1.8371325e-16	1.6663837e-16	-2.4579849e-17	0	-3.6763377e-17
2.800099999999888e-10	-5.6812794e-08	2.782557e-08	-0.001138656	0.034030486	-7.856917e-17	-1.8242355e-16	1.6549835e-16	-2.4875546e-17	0	-3.6768407e-17
2.9000999999997117e-10	-6.195506e-08	2.9180836e-08	-0.0015138994	0.03455249	-7.87159e-17	-1.8108401e-16	1.6430936e-16	-2.5170244e-17	0	-3.6771007e-17
3.0000999999995355e-10	-6.7500046e-08	3.113242e-08	-0.001914003	0.035136636	-7.886187e-17	-1.7968335e-16	1.6305858e-16	-2.5466401e-17	0	-3.6770723e-17
3.1000999999993594e-10	-7.567811e-08	3.2960095e-08	-0.002302438	0.035802074	-7.90116e-17	-1.78208e-16	1.6172927e-16	-2.5766178e-17	0	-3.6766683e-17
3.2000999999991833e-10	-8.549799e-08	3.3471224e-08	-0.002639746	0.036571342	-7.917145e-17	-1.7664997e-16	1.6030707e-16	-2.607116e-17	0	-3.6757392e-17
3.300099999999007e-10	-9.4853206e-08	3.164355e-08	-0.0028841193	0.037468087	-7.93507e-17	-1.7502465e-16	1.5879631e-16	-2.63817e-17	0	-3.6740666e-17
3.400099999998831e-10	-1.05819254e-07	2.6005639e-08	-0.0029945988	0.03850761	-7.956206e-17	-1.7338852e-16	1.5723798e-16	-2.669749e-17	0	-3.671404e-17
3.500099999998655e-10	-1.137495e-07	1.4838238e-08	-0.0029379288	0.039685402	-7.982058e-17	-1.71843e-16	1.5571823e-16	-2.701967e-17	0	-3.6676173e-17
