# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-3.4252514e-11	-1.2647082e-10	0.0005611151	0	0	0
0	7.3774646e-11	-1.05392355e-10	0.0035506615	0	0	0.019999994
0	1.1593159e-10	2.5294164e-10	0.008589097	0	0	0.039999988
0	2.1816218e-09	-5.058833e-10	0.035474017	0	0	0.059999965
0	4.7426557e-10	-3.267163e-10	0.05699729	0	0	0.079999976
0	6.61337e-10	-9.0637425e-10	0.101313956	0	0	0.099999964
0	-1.1184763e-09	-1.8127485e-09	0.7807179	0	0	0.11999993
0	3.609688e-10	8.431388e-11	0.8388369	0	0	0.14
0	1.0934457e-10	-3.8204728e-10	0.9942009	0	0	0.15999995
0	1.4491449e-11	-3.9522133e-10	0.9953193	0	0	0.17999995
0	2.397676e-10	-2.5294164e-10	0.9960296	0	0	0.19999993
0	1.8838883e-10	-1.6862776e-10	0.99653137	0	0	0.21999995
0	1.778496e-10	-1.6862776e-10	0.99691415	0	0	0.23999986
0	-9.221831e-12	-2.5294164e-10	0.997227	0	0	0.26000014
0	1.1593159e-10	-2.5294164e-10	0.99751365	0	0	0.28
0	5.072007e-11	-2.1078471e-10	0.99822277	0	0	0.30000013
0	1.9695195e-10	-1.4754929e-10	0.99828583	0	0	0.3199999
0	1.2515342e-11	-9.485312e-11	0.99834526	0	0	0.3400001
0	4.0839537e-11	-1.4754929e-10	0.9984009	0	0	0.3599999
0	1.3701006e-10	-4.215694e-11	0.9984535	0	0	0.38000008
0	7.838556e-11	-3.3725553e-10	0.99850315	0	0	0.39999986
0	-3.556992e-11	-1.6862776e-10	0.99855024	0	0	0.42
0	-2.5030684e-11	-1.212012e-10	0.9985946	0	0	0.4399999
0	1.1329678e-10	-2.3186318e-10	0.99863654	0	0	0.45999983
0	4.149824e-11	-6.323541e-11	0.9986766	0	0	0.47999972
0	7.245724e-11	-2.107847e-11	0.9987145	0	0	0.5
0	1.0144014e-10	-1.4754929e-10	0.9987507	0	0	0.5200003
0	6.1918005e-11	0	0.9987851	0	0	0.54000026
0	2.6348089e-11	-2.5294164e-10	0.99881786	0	0	0.56
0	5.072007e-11	-1.05392355e-10	0.9988491	0	0	0.58
0	-1.7126257e-11	-6.323541e-11	0.998879	0	0	0.60000026
0	1.3701006e-10	-8.431388e-11	0.99890757	0	0	0.62000024
0	1.8443662e-11	-2.107847e-11	0.99893504	0	0	0.6399998
0	9.6829225e-11	-2.107847e-11	0.9989611	0	0	0.6599999
0	4.9402666e-11	-4.215694e-11	0.99898624	0	0	0.6800002
0	-6.7187624e-11	7.9044264e-11	0.9990103	0	0	0.7000003
0	8.8266096e-11	-1.1593159e-10	0.99903345	0	0	0.7199998
0	-3.622862e-11	-1.05392355e-10	0.99905574	0	0	0.73999983
0	-4.9402666e-11	-6.323541e-11	0.9990771	0	0	0.7600003
0	2.7665493e-11	1.6862776e-10	0.9990976	0	0	0.7800002
0	4.0180834e-11	-1.0539235e-11	0.9991173	0	0	0.7999997
0	1.0209884e-10	-1.2647082e-10	0.99913627	0	0	0.8199998
0	7.0481135e-11	8.431388e-11	0.99915457	0	0	0.8400001
0	5.92832e-12	-4.215694e-11	0.9991724	0	0	0.86000025
0	1.4491449e-11	-2.6348089e-11	0.99918944	0	0	0.8799998
0	5.99419e-11	0	0.9992059	0	0	0.9
0	-2.1737173e-11	1.05392355e-10	0.99922174	0	0	0.91999966
0	3.556992e-11	-1.212012e-10	0.9992372	0	0	0.9399998
0	-3.952213e-12	-8.431388e-11	0.9992521	0	0	0.95999944
0	5.4672284e-11	-2.107847e-11	0.9992665	0	0	0.97999966
0	5.4013582e-11	-7.3774646e-11	0.9992804	0	0	1
0	1.5808852e-11	1.0539235e-11	0.9992665	0	0	0.9799997
0	-3.0959003e-11	-1.2647082e-10	0.9992521	0	0	0.95999944
0	3.293511e-12	-9.485312e-11	0.9992372	0	0	0.9399998
0	1.9102364e-11	-6.323541e-11	0.99922174	0	0	0.91999966
0	4.215694e-11	-1.05392355e-10	0.99920595	0	0	0.9
0	3.6887323e-11	-1.05392355e-10	0.9991894	0	0	0.8799998
0	-1.9102364e-11	-1.2647082e-10	0.9991724	0	0	0.86000025
0	3.8204728e-11	-4.215694e-11	0.99915457	0	0	0.84
0	2.8982898e-11	-7.3774646e-11	0.99913627	0	0	0.8199998
0	6.587022e-13	-6.323541e-11	0.9991173	0	0	0.7999997
0	2.5030684e-11	-1.2647082e-10	0.9990975	0	0	0.7800002
0	-2.107847e-11	-1.2647082e-10	0.9990771	0	0	0.76000017
0	5.335488e-11	-4.215694e-11	0.9990556	0	0	0.73999983
0	2.8982898e-11	-2.107847e-11	0.99903345	0	0	0.7199998
0	2.3054577e-11	-6.323541e-11	0.9990103	0	0	0.7000003
0	3.7546025e-11	-8.431388e-11	0.9989863	0	0	0.6800002
0	5.7307093e-11	-4.215694e-11	0.9989611	0	0	0.6599999
