# t (s)	mx ()	my ()	mz ()	maxTorque (T)
0	0	0	0	3.2637732
1.0000000000000124e-11	4.8533044e-10	2.4266522e-10	0.00037743582	0.5813706
2.0009999999999403e-11	-3.6399783e-10	1.2133261e-09	0.00069092336	0.236901
3.000999999999824e-11	0	9.706609e-10	0.00075695827	0.18185224
4.000000000000001e-11	3.6399783e-10	4.8533044e-10	0.00064081064	0.16347733
5.0000000000001785e-11	7.2799566e-10	0	0.00050406344	0.15869327
6.00000000000024e-11	1.2739924e-09	2.4266522e-10	0.00041089676	0.13334832
7.000999999999771e-11	2.4266522e-10	0	0.00039026246	0.12307827
8.000999999999302e-11	3.0333153e-10	4.8533044e-10	0.0003956011	0.118587136
9.000999999998834e-11	-2.4266522e-10	2.9119827e-09	0.00039638975	0.106932215
1.0000999999998365e-10	1.8199892e-10	1.9413218e-09	0.0003927663	0.09302712
1.1000999999997896e-10	-3.0333153e-10	1.9413218e-09	0.00038955486	0.08186289
1.2000999999997891e-10	-2.108154e-09	9.706609e-10	0.00038956504	0.074569166
1.3000999999998715e-10	-1.2133261e-09	1.9413218e-09	0.00039202956	0.06985015
1.400099999999954e-10	-1.395325e-09	2.4266522e-09	0.00039319435	0.06581503
1.5000000000000362e-10	-2.4645685e-09	4.367974e-09	0.00039077352	0.06146612
1.6000000000001186e-10	-3.2001477e-09	2.9119827e-09	0.00038538635	0.05739818
1.700000000000201e-10	-1.6455736e-09	5.338635e-09	0.0003792236	0.053847976
1.8000000000002833e-10	8.796614e-10	9.706609e-10	0.00037458484	0.05096602
1.9000000000003657e-10	-2.153654e-09	4.367974e-09	0.00037265226	0.048651185
2.000000000000448e-10	-1.8806554e-09	3.8826435e-09	0.00037282502	0.046441276
2.1000000000005304e-10	5.6116334e-10	9.706609e-10	0.00037345983	0.044462305
2.2000000000006128e-10	0	-3.397313e-09	0.00037312496	0.042661063
2.3000000000006952e-10	-9.099946e-10	1.6986565e-09	0.00037136127	0.04094421
2.4000000000005925e-10	-1.6076571e-09	3.8826435e-09	0.0003686575	0.039399866
2.5000000000004163e-10	-1.4559913e-09	4.8533044e-09	0.00036586684	0.038022418
2.60000000000024e-10	-1.1829929e-09	3.397313e-09	0.00036355472	0.03666854
2.700000000000064e-10	-2.2749864e-09	1.5773239e-09	0.00036184103	0.035393573
2.800099999999888e-10	-1.0616603e-09	1.4559913e-09	0.00036049812	0.034280244
2.9000999999997117e-10	-1.5773239e-09	2.4266522e-09	0.00035922363	0.03317109
3.0000999999995355e-10	1.2133261e-10	4.610639e-09	0.00035779967	0.032094616
3.1000999999993594e-10	6.6732936e-10	5.5813e-09	0.0003561413	0.031069696
3.2000999999991833e-10	1.9413218e-09	1.6986565e-09	0.0003542854	0.030167773
3.300099999999007e-10	1.4559913e-09	-4.8533044e-10	0.00035238243	0.02925736
3.400099999998831e-10	-2.5176516e-09	-7.2799566e-10	0.0003505605	0.028362012
3.500099999998655e-10	-1.1526597e-09	7.2799566e-10	0.00034879777	0.027499272
3.600099999998479e-10	-2.7299838e-09	2.4266522e-09	0.0003470923	0.026685266
3.7000999999983027e-10	-3.2759804e-09	-4.8533044e-10	0.00034546113	0.02593734
3.8000999999981266e-10	3.6399783e-10	-3.1546479e-09	0.00034380128	0.025167748
3.9000999999979505e-10	2.3508193e-09	-2.183987e-09	0.0003420575	0.024406882
4.0000999999977743e-10	1.5849072e-09	3.397313e-09	0.0003402829	0.023680884
4.100099999997598e-10	-1.2739924e-09	5.338635e-09	0.00033851215	0.022975935
4.200099999997422e-10	-2.3659859e-09	3.1546479e-09	0.00033675574	0.022331236
4.300099999997246e-10	-4.8950124e-09	-1.3346587e-09	0.00033504036	0.02167924
4.40009999999707e-10	-4.4893067e-09	1.2133261e-10	0.0003333383	0.021025427
4.5000999999968937e-10	-2.9119827e-09	6.0666305e-10	0.00033160663	0.020378549
4.6000999999967176e-10	1.7593228e-09	7.765287e-09	0.00032985557	0.019759497
4.700099999996541e-10	1.3043255e-09	3.397313e-09	0.00032813288	0.019156843
4.800099999996365e-10	1.2133261e-10	2.9119827e-09	0.00032645388	0.018603433
4.900099999996189e-10	0	1.5773239e-09	0.00032480157	0.018042266
5.000099999996013e-10	3.3366467e-09	-2.6693174e-09	0.00032312295	0.017479572
5.100099999995837e-10	1.1526597e-09	-2.4266522e-09	0.00032147512	0.01693168
5.200099999995661e-10	-6.6732936e-10	-3.6399783e-10	0.00031977647	0.016388431
5.300099999995485e-10	1.2739924e-09	9.706609e-10	0.0003180914	0.01586711
